premise_code,premise,address,premise_type,state,district
4970.0,PASAR AWAM SAMA GAGAH,"JALAN SAMA GAGAH,TAMAN SAMA GAGAH,PERMATANG PAUH PULAU PINANG",Pasar Basah ,Pulau Pinang,Seberang Perai Tengah
4981.0,NATION LIGHT SDN BHD,"SIMPANG BEKENU, SIBUTI,98150 BEKENU, SARAWAK,",Pasar Mini,Sarawak,Bekenu
4994.0,RESTORAN STESEN RASA,"NO.6,ARKED MAJLIS DAERAH JALAN PADANG,70300 TAMPIN, NEGERI SEMBILAN.",Restoran Melayu,Negeri Sembilan,Tampin
5003.0,TAMU DAN PASAR BASAH BEKENU,"PASAR TAMU BARU,MAJLIS DAERAH SUBIS,98150 BEKENU, SARAWAK",Pasar Basah ,Sarawak,Bekenu
5058.0,PASAR BESAR MASJID TANAH,"PASAR BESAR MASJID TANAH,78300 MASJID TANAH MELAKA,",Pasar Basah ,Melaka,Alor Gajah
5072.0,KEDAI RUNCIT MRT MAJU TRADING (MRT 1),"NO. A-0-09-A2,TERATAK MUHIBBAH,TAMAN DANAU DESA,",Kedai Runcit,W.P. Kuala Lumpur,Seputeh
5086.0,PASAR BESAR ALOR GAJAH,"PASAR BESAR ALOR GAJAH,78000 ALOR GAJAH, MELAKA.,",Pasar Basah ,Melaka,Alor Gajah
5093.0,AEON BIG ( SRI PETALING ),"LG & GF, ENDAH PARADE SHOPPING MALL,NO.1, JALAN 1/149E,TAMAN SRI ENDAH,",Hypermarket,W.P. Kuala Lumpur,Bandar Tun Razak
5102.0,99 SPEED MART ( BANDAR SRI PERMAISURI 2 ),"NO.3 & NO.5, GROUND FLOOR,JALAN SRI PERMAISURI 8,BANDAR SRI PERMAISURI,",Pasar Mini,W.P. Kuala Lumpur,Bandar Tun Razak
5137.0,HERO MARKET ( BANDAR SRI PERMAISURI ),"NO.35-51, JALAN PERMAISURI 9,BANDAR SRI PERMAISURI,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Bandar Tun Razak
5138.0,EKEY CAFE,"BATU 25,JALAN YAN KECHIL, SUNGAI YAN,06900 YAN, KEDAH.",Restoran Melayu,Kedah,Yan
5161.0,PASARAYA KINI,"NO 21-29, JALAN JETI,BANDAR TEPIAN SUNGAI,86800 MERSING, JOHOR",Pasar Raya / Supermarket,Johor,Mersing
5179.0,MYDIN SELAYANG,"NO 10-16, JALAN SU/12,SELAYANG UTAMA,68100 BATU CAVES, SELANGOR.",Hypermarket,Selangor,Gombak
5190.0,PASAR AWAM KG BARU,"JALAN KAMPUNG BARU, 14000 BUKIT MERTAJAM PULAU PINANG,BUKIT MERTAJAM,",Pasar Basah ,Pulau Pinang,Seberang Perai Tengah
5204.0,PASARAYA GAMA,"WISMA GAMA,NO. 1, JALAN DATO KERAMAT,GEORGETOWN",Pasar Raya / Supermarket,Pulau Pinang,Timur Laut
5205.0,PASAR MINI SHAMIRA,"LOT 7122, TAMAN PERMAI, BATU 2 1/2,JALAN SEREMBAN, 71000 PORT DICKSON, NEGERI SEMBILAN,",Pasar Mini,Negeri Sembilan,Port Dickson
5206.0,SHC SUCCESS MARKETING,"NO. 57, 58, 59, JALAN PASAR BARU LUKUT,71010 LUKUT, NEGERI SEMBILAN,",Kedai Runcit,Negeri Sembilan,Port Dickson
5218.0,SERVAY HYPERMARKET,"LOT 637, MIRI PLAZA, PELITA COMMERCIAL CENTRE,P.O. BOX 1591,98008 MIRI, SARAWAK",Hypermarket,Sarawak,Miri
5219.0,BOULEVARD HYPERMARKET,"LOT 2528, JALAN BOULEVARD UTAMA,BOULEVARD COMMERCIAL CENTRE,98000 MIRI, SARAWAK",Hypermarket,Sarawak,Miri
5221.0,PASAR BASAH MENTAKAB,"PASAR BASAH MENTAKAB,BANDAR MENTAKAB.,",Pasar Basah ,Pahang,Temerloh
5228.0,PASAR AWAM BAGAN DATUK,"JALAN SYAHBANDAR,36100 BAGAN DATOH,PERAK",Pasar Basah ,Perak,Bagan Datuk
5230.0,KEDAI PEMBORONG DAN RUNCIT MUHIBAH PORT DICKSON,"NO. 924 (LOT 2101), JALAN LAMA,71000 PORT DICKSON, NEGERI SEMBILAN D.K.,",Kedai Runcit,Negeri Sembilan,Port Dickson
5234.0,EMART SUPERMARKET,"E-MART SUPERMARKET SDN BHD,BLOCK B, LOT 2892, PHASE 3, JALAN TUDAN,98107 TUDAN, MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
5244.0,RESTORAN BEE HOO,"NO.1 JALAN PASAR LUKUT,71000 PORT DICKSON, NEGERI SEMBILAN,",Restoran Cina,Negeri Sembilan,Port Dickson
5246.0,RESTORAN GUAN JI,"NO.22 TINGKAT BAWAH, PASAR BESAR LUKUT,71000 PORT DICKSON,  NEGERI SEMBILAN.,",Restoran Cina,Negeri Sembilan,Port Dickson
5248.0,RESTORAN DEEN BERJAYA,"LOT 1208, JALAN LAMA, BANDAR PORT DICKSON,71000 PORT DICKSON, N.SEMBILAN.,",Restoran India Muslim,Negeri Sembilan,Port Dickson
5249.0,RESTORAN FATIMAH (INDIA MUSLIM),"6/6, TAMAN NEGERI BT 2, JALAN SEREMBAN,71000 PORT DICKSON, NEGERI SEMBILAN,",Restoran India Muslim,Negeri Sembilan,Port Dickson
5250.0,PASAR AWAM YONG PENG,"PASAR AWAM YONG PENG,JALAN PASAR KANGKAR BAHRU,83700 YONG PENG,JOHOR",Pasar Basah ,Johor,Batu Pahat
5254.0,RESTORENT MOHAMADUNNI,"BATU 7, TELUK KEMANG, PORT DICKSON,71050 NEGERI SEMBILAN.,",Restoran India Muslim,Negeri Sembilan,Port Dickson
5255.0,RESTORAN TANJUNG BIRU CAFE,"NO 5,KAMPUNG SIGINTING,71050 PORT DICKSON, NEGERI SEMBILAN.",Restoran Melayu,Negeri Sembilan,Port Dickson
5257.0,PASAR SEKSYEN 16,"PASAR SEKSYEN 16,40000 SHAH ALAM, SELANGOR,",Pasar Basah ,Selangor,Petaling
5260.0,99 SPEED MART ( DESA PANDAN ),"NO.37, JALAN 5/76B,DESA PANDAN,",Pasar Mini,W.P. Kuala Lumpur,Titiwangsa
5274.0,MYDIN USJ,"LOT 4,5,6,PERSIARAN PERPADUAN USJ 1,47600 SUBANG JAYA, SELANGOR",Hypermarket,Selangor,Petaling
5278.0,MYDIN BAZAAR PRESINT 15,"MYDIN BAZAAR PUTRAJAYA 42,JALAN DIPLOMATIK 1, PRESINT 15,62130 PUTRAJAYA",Pasar Raya / Supermarket,W.P. Putrajaya,Wp Putrajaya
5281.0,PASAR MINI WATA,"PASAR MINI WATA YONG PENG,NO.45-47 JALAN KOTA YONG PENG,83700 YONG PENG,JOHOR",Pasar Mini,Johor,Batu Pahat
5282.0,MONEGAIN SDN. BHD.,"NO. A030, 031, 032, 034,B016, 017,018,GROUND FLOOR, FINANCIAL PARK COMPLEX,",Pasar Mini,W.P. Labuan,Kawasan Bandar
5302.0,PASAR JALAN GENTING KLANG,"JALAN PRIMA SETAPAK 1,PRIMA SETAPAK,",Pasar Basah ,W.P. Kuala Lumpur,Wangsa Maju
5304.0,PASAR BASAH SIBUJAYA,"MENYAN LAND DISTRICT,SIBU JAYA,SIBU, SARAWAK",Pasar Basah ,Sarawak,Sibujaya
5309.0,PASARAYA TUNAS MANJA SDN BHD PEKAN,"BANDAR PEKAN,PEKAN.,",Pasar Raya / Supermarket,Pahang,Pekan
5311.0,PASAR BESAR PEKAN,"JALAN SULTAN ABDULLAH,PEKAN.,",Pasar Basah ,Pahang,Pekan
5315.0,"KEDAI RUNCIT DINIEZ ENTERPRISE,","ADINI ENTERPRISE,PASAR DARA CHINI,PEKAN.",Kedai Runcit,Pahang,Pekan
5316.0,KEDAI RUNCIT CHOP CHUAN CHANG,"NO 63 & 64 ,JALAN BESAR NENASI,PEKAN, PAHANG",Kedai Runcit,Pahang,Pekan
5318.0,ECONSAVE BANDAR BARU SUNGAI BULOH,"NO 2-20,JALAN LITER C U19/C SEKSYEN U19,40160 SUNGAI BULOH, SELANGOR DARUL EHSAN",Hypermarket,Selangor,Gombak
5325.0,TESCO JELUTONG PULAU PINANG,"NO 1,LEBUH TENGKU KUDIN 1,GEORGETOWN",Hypermarket,Pulau Pinang,Timur Laut
5343.0,GIANT BUKIT ANTARABANGSA,"LOT 369(PT 3429),JALAN WANGSA UKAY, TAMAN WANGSA UKAY, MUKIM ULU KLANG,68000 SELANGOR.",Hypermarket,Selangor,Gombak
5348.0,NAM LEONG SUPERMARKET,"LOT 5965-5971, JALAN DESA INDAH 3,BANDAR BARU PERMYJAYA,98100 MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
5355.0,PASARAYA ONG TAI KIM ( WANGSA MAJU ),"MEDAN IDAMAN, BATU 5 ¼,JALAN GOMBAK,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Wangsa Maju
5360.0,PASAR AWAM SERI MANJUNG,"32040 SERI MANJUNG,PERAK,",Pasar Basah ,Perak,Manjung
5377.0,MYDIN MALL,"LOT 1547 & 1548,JALAN SULTAN MOHAMAD,KUALA TERENGGANU",Hypermarket,Terengganu,Kuala Terengganu
5379.0,CENTRAL MARKET SARIKEI,"PASAR BASAH CENTRAL MARKET,LEBUH TEBINGAN NYELONG,BANDAR SARIKEI",Pasar Basah ,Sarawak,Sarikei
5414.0,ECONSAVE KG MELAYU SUBANG,"LOT 3761, JALAN 2D,KG BARU SUBANG,40510 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
5416.0,TF VALUE MART RAUB,"LOT 1383,SEMPALIT MUKIM GALI,RAUB PAHANG",Pasar Raya / Supermarket,Pahang,Raub
5433.0,TF VALUE MART SDN BHD BENTONG 1,"PASARAYA LIDO,JALAN AH PENG, BENTONG,",Pasar Raya / Supermarket,Pahang,Bentong
5434.0,PASAR BASAH BENTONG,"JALAN AH PENG,BENTONG,",Pasar Basah ,Pahang,Bentong
5435.0,PASAR BASAH KARAK,"PASAR BESAR KARAK,KARAK PAHANG,",Pasar Basah ,Pahang,Bentong
5448.0,PASAR BESAR RAUB,"JALAN DATO ABDULLAH,RAUB, PAHANG,",Pasar Basah ,Pahang,Raub
5456.0,GIANT SUPERSTORE SUBANG JAYA (USJ),"KOMPLEK MEMBELI BELAH GIANT USJ,NO 1, PERSIARAN SUBANG PERMAI,47500 SUBANG JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
5483.0,"SYARIKAT SAYANG,KERPAN","PT5,PT6,PT7,PUSAT PERTUMBUHAN DESASUNGAI KOROK, MUKIM NAGA,06150 KUBANG PASU,KEDAH",Kedai Runcit,Kedah,Kubang Pasu
5488.0,NIRWANA MAJU SDN BHD (432159-V),"LOT 1354, JALAN KUBANG TANGGA,KAMPUNG KUBANG TANGGA,KUALA TERENGGANU",Pasar Raya / Supermarket,Terengganu,Kuala Terengganu
5498.0,MEDAN SELERA JAYA JUSCO,"JUSCO MELAKA,LEBOH AYER KEROH,75450 MELAKA.",Foodcourt,Melaka,Melaka Tengah
5516.0,MUI KUANG MINI MARKET,"BEKENU BAZAAR,98150 BEKENU,",Pasar Mini,Sarawak,Bekenu
5517.0,NSK HYPERMARKET RAWANG,"LOT 647 & 682,JALAN RAWANG, RAWANG JAYA,48000 RAWANG SELANGOR",Hypermarket,Selangor,Rawang
5532.0,PASAR BESAR PELABUHAN KLANG,"JALAN SUNGAI AUR,KAWASAN 13,42000 PELABUHAN KLANG, SELANGOR",Pasar Basah ,Selangor,Klang
5580.0,RESTORAN LIAN HWA,"CHOP MUI FONG, 35, JALAN TERENTANG,71300 REMBAU, NEGERI SEMBILAN,",Restoran Cina,Negeri Sembilan,Rembau
5581.0,RESTORAN LILIAN HOCK,"LILIAN HOCK,39, JALAN TERENTANG,71300 REMBAU, N.SEMBILAN.,",Restoran Cina,Negeri Sembilan,Rembau
5582.0,RESTORAN SAFKILA ENT,"JALAN TERENTANG, 71300 REMBAU, NEGERI SEMBILAN.,71300 REMBAU, NEGERI SEMBILAN.,",Restoran Melayu,Negeri Sembilan,Rembau
5584.0,RESTORAN KEDAI KOPI & MAKANAN (INDIA MUSLIM),"LOT 945, OFF JALAN DATO UNDANG, 71300 REMBAU, NSDK,71300 REMBAU, NEGERI SEMBILAN,",Restoran India Muslim,Negeri Sembilan,Rembau
5596.0,RESTORAN ASAM MANIS,"NO. 9,JALAN S/J 2A TAMAN SETIA JAYA,83000 BATU PAHAT, JOHOR.",Restoran Melayu,Johor,Batu Pahat
5645.0,SAU RESTORAN,"KG PASIR PUTIH,TUMPAT,",Restoran Cina,Kelantan,Tumpat
5648.0,MUS TOMYAM,"MUS TOMYAM,35600 SUNGKAI, PERAK.,",Restoran Melayu,Perak,Batang Padang
5678.0,BOULEVARD HYPERMARKET (KUCHING) SDN BHD,"BOULEVARD SHOPPING MALL,JALAN DATUK TAWI SLI,",Hypermarket,Sarawak,Kuching
5718.0,RESTORAN NISA DIN,"JB 5645 BAWAH KEDAI,JALAN TERATAI 5, TAMAN MAJU FASA 4,77000 JASIN MELAKA",Restoran India Muslim,Melaka,Jasin
5752.0,MEDAN SELERA TESCO STORES,"TESCO STORES (M) SDN BHD,NO. 1 JALAN TUN ABDUL RAZAK, PERINGGIT,74500 MELAKA",Foodcourt,Melaka,Melaka Tengah
5771.0,PASAR MINI JELAWAT,"PT 8, 16070 JELAWAT,BACHOK,",Pasar Mini,Kelantan,Bachok
5790.0,MEDAN SELERA SEKSYEN 8,"JALAN LAMPAM 8/3,SEKSYEN 8,46050 PETALING JAYA, SELANGOR",Medan Selera,Selangor,Petaling Jaya
5807.0,RESTORAN HO PING,"JALAN PENANG,GEORGETOWN,",Restoran Cina,Pulau Pinang,Timur Laut
5816.0,PASAR BASAH MELOR,"PASAR BASAH MELOR,MELOR,",Pasar Basah ,Kelantan,Kota Bharu
5823.0,PASARAYA HERO SEK 13,"HERO SEKSYEN 13HERO DISTRIBUTION SDN.BHD (666770-U),NO 2, JALAN BADMINTON 13/29, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
5827.0,PASAR FAMA PUCHONG,"PASAR FAMA PUCHONG,BATU 13,47100 PUCHONG, SELANGOR",Pasar Basah ,Selangor,Petaling
5836.0,PASAR SIMPANG,"34700 SIMPANG, TAIPINGPERAK,34700 SIMPANG, TAIPINGPERAK,",Pasar Basah ,Perak,"Larut, Matang & Selama"
5838.0,PASAR BESAR PULAU SEBANG,"PASAR AWAM PULAU SEBANG,78000 TAMPIN, MELAKA,",Pasar Basah ,Melaka,Alor Gajah
5849.0,KEDAI CHOP ENG BEE,"JALAN TRIANG BAHAU,MENGKUANG,PAHANG DARUL MAKMUR.",Kedai Runcit,Pahang,Bera
5850.0,RESTORAN SAIDAH,"PD 361, JALAN UTAMA,TAMAN SEBANG MUTIARA,78000 ALOR GAJAH, MELAKA",Restoran India Muslim,Melaka,Alor Gajah
5857.0,TESCO PERINGGIT,"NO.1,JALAN TUN ABDUL RAZAK,75400 PERINGGIT MELAKA",Hypermarket,Melaka,Melaka Tengah
5859.0,RANJINI (M) SDN BHD,"19 & 20 LORONG SERI DUYONG 11,TAMAN SERI DUYONG,75460, MELAKA",Pasar Mini,Melaka,Melaka Tengah
5870.0,FAMILY STORE (JASIN),"JA 8699,BANDAR JASIN 3,7700 JASIN, MELAKA",Pasar Raya / Supermarket,Melaka,Jasin
5880.0,PASAR AWAM TAMBUN INDAH,"14100 SIMPANG AMPATS.P.S PULAU PINANG,Seberang Perai Selatan,",Pasar Basah ,Pulau Pinang,Seberang Perai Selatan
5889.0,NG SIAN HAP SUPERMARKET,"LOT 1039, PIASAU INDUSTRIAL ESTATE,98000 MIRI,SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
5895.0,GIANT SEKSYEN 13,"LOT 2,PERSIARAN SUKAN SEKSYEN 13,40100 SHAH ALAM, SELANGOR DARUL EHSAN.",Hypermarket,Selangor,Petaling
5897.0,PASAR BESAR MBMB,"JALAN TUN FATIMAH,BACHANG,75350, MELAKA",Pasar Basah ,Melaka,Melaka Tengah
5980.0,PASAR SS 15 SUBANG JAYA,"SS 15,47500 SUBANG JAYA, SELANGOR,",Pasar Basah ,Selangor,Petaling
6014.0,KEDAI RUNCIT SING TIAN,"NO 1, JALAN SRI KERAYONG 4,BANDAR BARU KERAYONG,BERA, PAHANG.",Kedai Runcit,Pahang,Bera
6016.0,PASAR MINI KUALA TERENGGANU,"KILANG ROTI & KEK KUALA TERENGGANU,66/21, 66/22, 66/23 JALAN SULTAN OMAR,KUALA TERENGGANU, TERENGGANU",Kedai Runcit,Terengganu,Kuala Terengganu
6039.0,LOTUSS STORE STATION 18,"TESCO STATION 18NO 1,MEDAN STESEN 19/9, STATION 18,31650 PENGKALAN, IPOHPERAK DARUL RIDZUAN",Hypermarket,Perak,Kinta
6101.0,PASAR MINI K.K MAJU,"NO 693-694,JALAN TAMAN KAYA 2,TAMAN KAYA",Pasar Mini,Perak,"Larut, Matang & Selama"
6135.0,GLORY (MUKAH) SUPERMARKET,"NO.22-27 MEDAN SETIA RAJA,N0. 20, 21 & 26 MAIN BAZAAR,96400 SARAWAK",Pasar Raya / Supermarket,Sarawak,Mukah
6136.0,PASAR BASAH MUKAH,"PASAR LAMA,JALAN PASAR,MUKAH,SARAWAK",Pasar Basah ,Sarawak,Mukah
6140.0,PASAR BASAH KECIL DALAT,"PEKAN DALAT,DALAT,MUKAH, SARAWAK",Pasar Basah ,Sarawak,Dalat
6141.0,RESTORAN DAYANG CAFE,"SUBLOT 12 PARENT,LOT 484 BLOCK 123 OYA/ DALAT LD,96300 DALAT, SARAWAK.",Restoran Melayu,Sarawak,Dalat
6143.0,EVERWIN ECONOMY MART,"20A, LEVEL 1,JALAN ABDUL RAHMAN,BANDAR SARIKEI",Pasar Raya / Supermarket,Sarawak,Sarikei
6177.0,H&L SERIAN,"LOT 696 & 697,JALAN SERIAN BY-PASS, BUKAR SADING LAND DISTRICT SERIAN,94700 SERIAN, SARAWAK.",Pasar Raya / Supermarket,Sarawak,Serian
6206.0,PASAR BASAH SERIAN,"BANDAR SERIAN,94700 SERIAN,SARAWAK.",Pasar Basah ,Sarawak,Serian
6223.0,RESTORAN REZEKI MAJU,"NO 4 LORONG KIARA,34700 SIMPANG,PERAK.,",Restoran India Muslim,Perak,"Larut, Matang & Selama"
6224.0,RESTORAN RUMAH ATAP,"NO 2, LORONG INDAH 1,34700 TAMAN INDAH SIMPANG TAIPING,PERAK.,",Restoran Cina,Perak,"Larut, Matang & Selama"
6225.0,ANJUNG SELERA,"JALAN KIARA,TAMAN SIMPANG,34700 SIMPANG, PERAK.,",Restoran Melayu,Perak,"Larut, Matang & Selama"
6330.0,RESTORAN ASSALAM,"RESTORAN ASSALAM,SH 1 (BWH), JALAN BESAR,81500 PEKAN NANAS",Restoran India Muslim,Johor,Pontian
6342.0,PERNIAGAAN YAT FONG SDN. BHD. (BIDOR),"PT 6685, 86, 87,JALAN PERSATUAN,35500 BIDOR,  PERAK",Kedai Runcit,Perak,Batang Padang
6437.0,FOOK LONG HIN,"NO. 21, GROUND FLOOR, JALAN BATU NIAH,98200 BATU NIAH, SARAWAK,",Pasar Mini,Sarawak,Batu Niah
6498.0,PASAR MINI PULAU PANJANG,"687 KG. PULAU PANJANG,22000 JERTEH,TERENGGANU",Pasar Mini,Terengganu,Besut
6515.0,HOCK LOK COLD STORAGE,"LOT 338, HIGHWAY STREET, MARUDI,98050 BARAM, SARAWAK,",Kedai Runcit,Sarawak,Marudi
6525.0,GIANT BUKIT TINGGI,"LOT 83191 & 8392,PERSIRAN BATU NILAM, BANDAR BUKIT TINGGI 1, JALAN LANGAT,41200 KLANG, SELANGOR DARUL EHSAN",Hypermarket,Selangor,Klang
6574.0,PASAR BASAH MARAN,"PASAR BASAH MARAN,MARAN, PAHANG DARUL MAKMUR,",Pasar Basah ,Pahang,Maran
6609.0,TESCO EXTRA SEBERANG JAYA,"LOT 2762,PERSIARAN SEMBILANG, SEBERANG JAYA,13700 SEBERANG JAYA, PULAU PINANG",Hypermarket,Pulau Pinang,Seberang Perai Tengah
6663.0,JATA TRADING,"LOT 1918, PTTMN BUKIT BAYAS INDAH,KG GELONG BILAL,JLN PASIR PANJANG",Kedai Runcit,Terengganu,Kuala Terengganu
6676.0,PASAR BASAH KOTA PADAWAN,"10TH MILE,KOTA PADAWAN,SARAWAK",Pasar Basah ,Sarawak,Kota Padawan
6701.0,BISMILLAH RESTORAN,"138, JALAN TAMING SARI,34000 TAIPING,PERAK.,",Restoran India Muslim,Perak,"Larut, Matang & Selama"
6711.0,TUAN KAI HONG,"NO. 34B,JALAN COURT,",Kedai Runcit,Sarawak,Kapit
6742.0,RESTORAN NASI KANDAR MUTIARA TANJUNG,"1618, JALAN KULIM,TAMAN MACHANG BUBOK,BUKIT MERTAJAM,PULAU PINANG,",Restoran India Muslim,Pulau Pinang,Seberang Perai Tengah
6772.0,SENG HONG MINI MARKET,"NO. 30, TAMAN REMBAU JAYA, REMBAU,71300 REMBAU NEGERI SEMBILAN,",Pasar Mini,Negeri Sembilan,Rembau
6773.0,"RESTORAN NURUL JANNAH, MANONG","NO 25, TAMAN KENAS,33000 KUALA KANGSAR,PERAK,",Restoran India Muslim,Perak,Kuala Kangsar
6782.0,RESTORAN IKAN BAKAR MALIM,"LOT 35/32,BATU 4 1/2 JALAN BERTAM MALIM CHENG,75250 MELAKA.",Restoran Melayu,Melaka,Melaka Tengah
6809.0,RESTORAN SINAR MUSTIKA,"INANAM BUSSINES CENTRE,BATU 6 JALAN TUARAN INANAM,88450 KOTA KINABALU, SABAH.",Restoran Melayu,Sabah,Kota Kinabalu
6829.0,KS TRIPLE MART (TEMERLOH),"NO 26, JALAN BAHAGIA MAKMUR 8/1,TAMAN BAHAGIA MAKMUR,TEMERLOH, PAHANG DARUL MAKMUR.",Pasar Mini,Pahang,Temerloh
6855.0,RESTORAN RAFIDAH,"1107-G,JALAN PEJABAT,KUALA TERENGGANU, TERENGGANU.",Restoran Melayu,Terengganu,Kuala Terengganu
6871.0,PASAR MINI G & S,"NO.9 JALAN JAYA,TAMAN MEDAN JAYA SRI MEDAN,83400 BATU PAHAT JOHOR",Kedai Runcit,Johor,Batu Pahat
6899.0,KEDAI RUNCIT CHOP PENG SIN,"PUSAT BANDAR TRIANG,TRIANG, PAHANG,",Kedai Runcit,Pahang,Bera
6931.0,TF VALUE MART JLN MAHARAJALELA,"LOT 925, KM 3,JALAN MAHARAJALELA,36000 TELUK INTAN, PERAK",Pasar Raya / Supermarket,Perak,Hilir Perak
6941.0,PASAR BASAH SEKSYEN 6,"PASAR SEKSYEN 6,SEKSYEN  6,40000 SHAH ALAM, SELANGOR",Pasar Basah ,Selangor,Petaling
6961.0,PASAR BASAH KG RAJA,"JALAN PASAR KG RAJA,22200 BESUT,TERENGGANU",Pasar Basah ,Terengganu,Besut
6965.0,RESTORAN BEST - Q JERTEH,"LOT 276,JALAN PASAR BARU OFF JALAN BUKIT MOK MEK,22000 JERTEH, TERENGGANU.",Restoran Melayu,Terengganu,Besut
6972.0,HARNINA ENTERPRISE,"LOT PT 8498 BANGUNAN PMINT,PERKEDAIAN CHALOK KEDAI,21450 SETIU, TERENGGANU.",Kedai Runcit,Terengganu,Setiu
7008.0,SIN LIANG SUPERMARKET,"SIN LIANG SUPERMARKET SDN BHD,NO. 312-315, JALAN NAKHODA GAMPAR, P.O. BOX 1449,98000 MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
7014.0,PASAR AWAM SITIAWAN,"JALAN SENAWI,32000 SITIAWAN,PERAK.",Pasar Basah ,Perak,Manjung
7040.0,TESCO BUKIT TINGGI,"NO. 1 BATU 2 1/2,JALAN LANGAT,41200 KLANG, SELANGOR",Hypermarket,Selangor,Klang
7148.0,CHOW CHOW RESTAURANT,"NO. 1 LORONG SETIA 1,AYER KEROH HEIGHTS,75450 MELAKA",Restoran Cina,Melaka,Melaka Tengah
7161.0,RESTORAN NASI KANDAR AL NASIRAH,"NO 39 MAIN RD,SG. BAKAP,14200 PULAU PINANG.,SEBERANG PERAI SELATAN,",Restoran India Muslim,Pulau Pinang,Seberang Perai Selatan
7192.0,PASAR MINI MESRA M.ALI SDN.BHD.,"2 & 4,SUSURAN TANJONG 1,31250 TANJUNG RAMBUTAN, PERAK",Pasar Mini,Perak,Kinta
7226.0,RESTORAN NAINA MOHAMED (TASEK),"632, JALAN KUALA KANGSAR,TAMAN TASIK DAMAI,30010 , IPOH PERAK,",Restoran India Muslim,Perak,Kinta
7260.0,PASARAYA EKONOMI YUAN HUAT,"PASARAYA EKONOMI YUAN HUAT1838, JALAN BESAR,PERMATANG BERANGAN, 13300 TASEK GELUGOR, PULAU PINANG,JALAN BESAR,PERMATANG BERANGAN",Pasar Mini,Pulau Pinang,Seberang Perai Utara
7262.0,PASAR MINI FOOK YEE,"NO. 21 & 22,JALAN EMAS MERAH, TAMAN EMAS MERAH,81500 PEKAN NENAS, PONTIAN, JOHOR",Pasar Mini,Johor,Pontian
7280.0,PASARAYA NIRWANA SEGAMAT,"PASARAYA NIRWANA SEGAMAT,LOT 588, (NO 8), JLN YUSOF ABD RAHMAN,85000 SEGAMAT, JOHOR.",Pasar Raya / Supermarket,Johor,Segamat
7283.0,PASAR AWAM BANTING,"PASAR BANTING,PERSIARAN,42700 BANTING, SELANGOR",Pasar Basah ,Selangor,Kuala Langat
7284.0,ECONSAVE BANTING,"ECONSAVE CASH & CARRY,LOT 2-14, JALAN SUASA,42700 BANTING, SELANGOR",Pasar Raya / Supermarket,Selangor,Kuala Langat
7349.0,PASARAYA PANTAI TIMUR SHOPPING CENTER,"PT308-PT314,SEKSYEN,BANDAR PASIR MAS,",Pasar Raya / Supermarket,Kelantan,Pasir Mas
7431.0,GIANT TAMAN PERMATA,"LOT 13793 & 13796,JALAN CHANGKAT PERMATA, TAMAN PERMATA,53300 KUALA LUMPUR",Hypermarket,Selangor,Gombak
7472.0,PASAR MERU KLANG,"JALAN MERU KLANG,40150 KLANG, SELANGOR,",Pasar Basah ,Selangor,Klang
7473.0,PASAR BASAH KAPAR,"PEKAN KAPAR KLANG,42200 KAPAR, SELANGOR,",Pasar Basah ,Selangor,Klang
7501.0,MEDAN SELERA TAMAN MELAWATI (JLN BANDAR),"JALAN BANDAR 3,TAMAN MELAWATI, ULU KLANG,53100 KUALA LUMPUR, SELANGOR",Medan Selera,Selangor,Gombak
7562.0,RESTORAN CITARASA 1,"JALAN BESAR, BANDAR LAMA GUA MUSANG,GUA MUSANG,",Restoran Melayu,Kelantan,Gua Musang
7680.0,RESTORAN SELERA KITA 2,"LOT 2191-1,SIMPANG 3 KG PASIR PEKAN, BULATAN PASIR PEKAN,16250 WAKAF BHARU, KELANTAN.",Restoran Melayu,Kelantan,Tumpat
7815.0,BATARAS FOODCOURT KOLOMBONG,"BANGUNAN BATARAS HYPERMARKET,KOLOMBONG,",Foodcourt,Sabah,Kota Kinabalu
7816.0,PASAR AM MANGGATAL,"PEKAN MANGGATAL,KOTA KINABALU,",Pasar Basah ,Sabah,Kota Kinabalu
7826.0,PASAR BASAH CHUKAI,"JALAN SULAIMANI,24000 KEMAMAN,TERENGGANU",Pasar Basah ,Terengganu,Kemaman
7832.0,PASARAYA SAMAMAJU (BINJAI) SDN. BHD.,"3549-3553, TAMAN SEMARAK,24000 BINJAI, KEMAMAN,TERENGGANU",Pasar Raya / Supermarket,Terengganu,Kemaman
7858.0,RESTORAN GRANDVIEW CAFE,"NO.12 BACKROW PERSIARAN BUNGA RAYA,KIJAL BEACH RESORT,24100 KIJAL, KEMAMAN",Restoran Cina,Terengganu,Kemaman
