,Property_name,monthly_rent(RM),location,property_type,rooms,parking,bathroom,size(sq.ft),furnish_info,facilities,region
7022,Maxim Citilights,1 500,tul,Service Residence,3,2,2,1095 ,Not Furnished,"Playground, Multipurpose hall, Minimart, Swimming Pool, Jogging Track, Security, Parking, Lift, Gymnasium",Kuala Lumpur
7023,Seasons Garden Residences @ Wangsa Maju,1 300,Wangsa Maju,Condominium,3,1,2,770 ,Partially Furnished,"Parking, Swimming Pool, Playground, Gymnasium, Minimart, Security",Kuala Lumpur
7024,Residensi Desa Satumas,1 500,Taman Desa,Condominium,3,1,2,850 ,Partially Furnished,"Multipurpose hall, Parking, Security, Playground, Lift, Swimming Pool, Jogging Track",Kuala Lumpur
7026,Sri Putramas,1 800,Jalan Kuching,Condominium,3,1,2,1100 ,Fully Furnished,"Parking, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",Kuala Lumpur
7027,Canopy hills,604,Cheras,Condominium,2,1,1,590 ,Not Furnished,"Parking, Lift, Swimming Pool, Playground, Security, Gymnasium, Sauna, Multipurpose hall, Jogging Track",Kuala Lumpur
7028,Mirage Residence,1 000,City,Condominium,3,3,2,1551 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",Kuala Lumpur
7030,Seri Maya,2 000,tiawangsa,Condominium,3,1,1,1300 ,Fully Furnished,"Swimming Pool, Security, Parking, Playground, Gymnasium",Kuala Lumpur
7032,Mizumi Residences,2 300,pong,Service Residence,4,2,2,932 ,Fully Furnished,"Gymnasium, Jogging Track, Minimart, Playground, Lift, Sauna, Swimming Pool, Tennis Court, Multipurpose hall, Parking, Security, Club house, Squash Court",Kuala Lumpur
7033,The Era,2 300,mbut,Service Residence,2,2,2,893 ,Fully Furnished,"Gymnasium, Security, Barbeque area, Sauna, Parking, Jogging Track, Playground, Swimming Pool",Kuala Lumpur
7036,Anyaman Residence,1 400,chai Lama,Condominium,3,2,2,935 ,Partially Furnished,"Jogging Track, Playground, Multipurpose hall, Security, Gymnasium, Swimming Pool, Barbeque area",Kuala Lumpur
7037,PV20 condo Setapak,1 600,tapak,Condominium,4,2,2,1350 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Jogging Track",Kuala Lumpur
7038,Central Residence @ Sg Besi,1 200,ungai Besi,Condominium,2,2,2,731 ,Partially Furnished,"Sauna, Playground, Barbeque area, Swimming Pool, Multipurpose hall, Security, Gymnasium",Kuala Lumpur
7039,Central Residence @ Sg Besi,1 100,ungai Besi,Apartment,2,2,2,565 ,Partially Furnished,"Sauna, Playground, Barbeque area, Swimming Pool, Multipurpose hall, Security, Gymnasium",Kuala Lumpur
