,Property_name,monthly_rent(RM),location,property_type,rooms,parking,bathroom,size(sq.ft),furnish_info,facilities,region
13967,Sri Kayangan Apartment,850, Ampang,Apartment,3.0,1,2,830 ,Partially Furnished,"Parking, Security, Playground, Barbeque area",Selangor
13968,Mentari Court,1 200, Petaling Jaya,Apartment,3.0,1,2,800 ,Partially Furnished,"Parking, Security, Lift, Playground, Swimming Pool",Selangor
13969,Ascotte Boulevard,850, Semenyih,Service Residence,3.0,2,2,1050 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Club house",Selangor
13970,Seri Baiduri (Setia Alam),1 000, Setia Alam,Apartment,3.0,2,2,920 ,Partially Furnished,"Parking, Lift, Security, Swimming Pool, Playground, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Gymnasium, Jogging Track, Tennis Court, Squash Court",Selangor
13971,Pangsapuri Lotus (Teratai),950, Puchong,Apartment,3.0,1,2,850 ,Partially Furnished,"Parking, Security, Playground, Minimart",Selangor
13972,Tiara Intan,1 400, Ampang,Condominium,3.0,1,2,908 ,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart",Selangor
13973,Pacific Star,200, Petaling Jaya,Studio,1.0,1,1,300 ,Not Furnished,Parking,Selangor
13974,Residensi Zamrud @ Kajang,1 400, Kajang,Condominium,3.0,2,2,1023 ,Partially Furnished,"Security, Swimming Pool, Parking, Gymnasium, Lift, Playground",Selangor
13975,Garden Plaza @ Garden Residence,1 000, Cyberjaya,Service Residence,1.0,1,1,450 ,Fully Furnished,"Swimming Pool, Multipurpose hall, Gymnasium, Parking, Security, Lift, Playground, Minimart, Tennis Court",Selangor
13977,Setia City Residences,3 000, Setia Alam,Condominium,2.0,2,2,985 ,Fully Furnished,"Parking, Playground, Swimming Pool, Tennis Court, Lift, Minimart, Gymnasium, Squash Court, Jogging Track, Barbeque area, Security, Sauna",Selangor
13978,Taman Mulia Jaya,800, Ampang,Apartment,2.0,1,1,840 ,Not Furnished,"Minimart, Parking, Playground",Selangor
13980,Menara U,1 700, Shah Alam,Condominium,2.0,1,1,527 ,Fully Furnished,"Swimming Pool, Gymnasium, Minimart, Lift, Security, Playground, Squash Court, Jogging Track, Parking",Selangor
13982,Aurora Residence @ Lake Side City,1 799, 389,Service Residence,3.0,2,2,1150 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
13983,Harmoni Apartment,500, Damansara Damai,Apartment,3.0,1,2,650 ,Not Furnished,"Parking, Lift, Playground, Swimming Pool, Gymnasium, Minimart, Jogging Track",Selangor
13984,Shaftsbury Residence,1 100, Cyberjaya,Condominium,1.0,1,1,463 ,Fully Furnished,"Sauna, Parking, Gymnasium, Security, Minimart, Playground, Tennis Court, Swimming Pool, Jogging Track, Lift, Multipurpose hall, Club house",Selangor
13985,Mutiara Ville @ Cyberjaya,1 500, Cyberjaya,Condominium,3.0,2,2,1000 ,Fully Furnished,"Jogging Track, Security, Minimart, Swimming Pool, Gymnasium, Parking, Playground, Lift",Selangor
13986,Mutiara Ville @ Cyberjaya,1 500, Cyberjaya,Condominium,3.0,2,2,1000 ,Fully Furnished,"Playground, Swimming Pool, Security, Minimart, Gymnasium, Jogging Track, Parking, Lift",Selangor
13987,Astoria Ampang,3 200, Ampang,Service Residence,3.0,2,2,1050 ,Fully Furnished,"Sauna, Swimming Pool, Gymnasium, Jogging Track, Parking, Minimart, Multipurpose hall, Security, Playground, Tennis Court, Lift, Barbeque area",Selangor
13989,The Arc @ Cyberjaya,1 200, Cyberjaya,Service Residence,3.0,1,2,913 ,Partially Furnished,"Gymnasium, Parking, Playground, Jogging Track, Security, Minimart, Sauna, Swimming Pool",Selangor
13992,I Residence @ Kota Damansara,2 500, Kota Damansara,Service Residence,3.0,2,2,1260 ,Fully Furnished,"Lift, Security, Parking, Gymnasium, Swimming Pool",Selangor
13993,TTDI Adina,1 700, Shah Alam,Condominium,2.0,1,2,900 ,Fully Furnished,"Gymnasium, Swimming Pool, Playground, Minimart, Barbeque area, Multipurpose hall, Security, Parking, Lift",Selangor
13995,Akasia Apartment (Puchong),1 199, Puchong,Apartment,3.0,1,2,860 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
13996,The Wharf (Puchong),1 199, Puchong,Condominium,2.0,1,2,820 ,Partially Furnished,"Jogging Track, Gymnasium, Multipurpose hall, Swimming Pool, Playground, Parking, Security",Selangor
13997,Impiria Residensi Bukit Tinggi Klang,2 000, Klang,Condominium,3.0,2,2,1067 ,Partially Furnished,"Parking, Security, Playground, Gymnasium, Lift, Squash Court, Minimart, Swimming Pool, Sauna",Selangor
13998,Residensi Idaman Abadi Fasa 1&2,1 300, Kajang,Condominium,3.0,2,3,1022 ,Partially Furnished,"Parking, Gymnasium, Club house, Security, Sauna, Jogging Track, Lift, Barbeque area, Tennis Court, Swimming Pool, Minimart, Squash Court, Multipurpose hall, Playground",Selangor
13999,Gravit8,1 700, Port Klang,Service Residence,3.0,2,2,1031 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Club house, Gymnasium, Barbeque area, Multipurpose hall",Selangor
14000,Ashino @ Gravit8,1 500, Klang,Service Residence,2.0,1,1,631 ,Fully Furnished,"Gymnasium, Club house, Security, Minimart, Parking, Jogging Track, Lift, Playground, Swimming Pool, Multipurpose hall, Barbeque area",Selangor
14001,LakePark Residence @ KL North,1 850, Selayang,Service Residence,3.0,2,2,1275 ,Partially Furnished,"Playground, Lift, Parking, Jogging Track, Multipurpose hall, Security, Swimming Pool, Gymnasium",Selangor
14002,Arte Plus Jalan Ampang,1 800, 639,Service Residence,2.0,1,2,790 ,Fully Furnished,"Parking, Playground, Gymnasium, Jogging Track",Selangor
14003,V-Residensi 2,1 800, Shah Alam,Service Residence,3.0,2,3,1024 ,Partially Furnished,"Swimming Pool, Security, Gymnasium, Multipurpose hall, Parking, Playground",Selangor
14005,Windows on The Park,2 700, Cheras,Condominium,3.0,2,3,1685 ,Fully Furnished,"Minimart, Sauna, Security, Playground, Swimming Pool, Parking, Jogging Track, Barbeque area, Multipurpose hall, Gymnasium, Lift",Selangor
14006,Gravit8,1 250, Port Klang,Service Residence,3.0,1,2,760 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track, Club house, Barbeque area",Selangor
14007,"Selangorku PR1MA Lakefront Homes , Cyberjaya",1 450, Sepang,Apartment,3.0,1,2,980 ,Partially Furnished,"Squash Court, Parking, Lift, Sauna, Swimming Pool, Jogging Track, Security, Minimart, Playground",Selangor
14008,D'Aman Residences,1 100, Puchong,Condominium,3.0,2,2,980 ,Partially Furnished,"Jogging Track, Multipurpose hall, Swimming Pool, Squash Court, Security, Playground, Gymnasium, Parking, Lift, Sauna, Barbeque area, Minimart",Selangor
14009,Seventeen Mall & Residences,3 400, Petaling Jaya,Service Residence,3.0,2,2,1095 ,Fully Furnished,"Security, Gymnasium, Parking, Swimming Pool, Multipurpose hall, Playground, Lift, Minimart, Barbeque area, Club house",Selangor
14010,Parkland Residence,1 500, Cheras,Service Residence,1.0,1,1,500 ,Fully Furnished,"Sauna, Multipurpose hall, Parking, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Barbeque area",Selangor
14012,Astoria Ampang,2 500, Ampang,Service Residence,2.0,2,2,780 ,Fully Furnished,"Jogging Track, Sauna, Multipurpose hall, Security, Swimming Pool, Tennis Court, Parking, Minimart, Playground, Gymnasium, Lift",Selangor
14015,Ritze Perdana 2,1 300, Damansara Perdana,Condominium,1.0,1,1,505 ,Fully Furnished,"Security, Gymnasium, Barbeque area, Swimming Pool, Parking, Squash Court, Lift, Playground",Selangor
14021,Bell Suites,700, Sepang,Condominium,1.0,1,1,450 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Sauna, Gymnasium, Club house",Selangor
14023,Akasa Cheras South,1 500, Seri Kembangan,Service Residence,2.0,2,2,850 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
14026,Cloud Tree @ Cheras,2 300, Cheras,Service Residence,4.0,2,2,1269 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
14029,Symphony Heights (Simfoni Heights),1 300, Batu Caves,Condominium,3.0,1,2,1144 ,Fully Furnished,"Swimming Pool, Jogging Track, Parking",Selangor
14031,Monet Lily @ Monet Residences Sunsuria City,700, Sepang,Condominium,1.0,1,1,450 ,Not Furnished,"Parking, Security, Playground, Lift, Swimming Pool, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Sauna, Jogging Track, Club house",Selangor
14032,Equine Residence,2 000, Seri Kembangan,Service Residence,3.0,2,2,893 ,Partially Furnished,"Swimming Pool, Jogging Track, Playground, Security, Gymnasium, Lift, Parking, Barbeque area",Selangor
14033,Pandora Serviced Residence,1 250, Shah Alam,Service Residence,1.0,1,1,570 ,Partially Furnished,"Swimming Pool, Gymnasium, Barbeque area, Security, Multipurpose hall, Parking",Selangor
14034,Edusphere,1 700, Cyberjaya,Condominium,2.0,2,2,800 ,Not Furnished,Security,Selangor
14036,Putra Ria Apartment (Seri Kembangan),850, Balakong,Apartment,3.0,2,2,752 ,Partially Furnished,"Minimart, Parking, Security, Lift, Playground",Selangor
14038,The Arc @ Cyberjaya,1 300, Cyberjaya,Service Residence,3.0,1,2,1000 ,Fully Furnished,"Gymnasium, Parking, Security, Playground, Swimming Pool, Jogging Track, Sauna, Minimart",Selangor
14040,Alanis @ Warisan Puteri,1 250, Sepang,Service Residence,2.0,2,1,559 ,Partially Furnished,"Swimming Pool, Barbeque area, Gymnasium, Multipurpose hall, Security, Parking, Playground, Lift",Selangor
14041,Koi Prima,1 900, Puchong,Condominium,3.0,2,2,1055 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
14042,Mutiara Ville @ Cyberjaya,1 200, Cyberjaya,Condominium,1.0,1,1,500 ,Fully Furnished,"Parking, Jogging Track, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",Selangor
14043,Teratai Apartment @ Taman Sutera,800, Kajang,Apartment,3.0,1,2,800 ,Partially Furnished,"Parking, Security, Playground",Selangor
14044,Alami Residensi,1 850, Shah Alam,Condominium,3.0,2,2,1000 ,Fully Furnished,"Multipurpose hall, Security, Swimming Pool",Selangor
14045,Canopy Hills,1 300, Kajang,Condominium,2.0,1,1,600 ,Fully Furnished,"Playground, Gymnasium, Swimming Pool, Security, Lift, Jogging Track, Multipurpose hall, Parking, Barbeque area, Minimart",Selangor
14046,Sri Mekar Apartment,1 400, Puchong,Apartment,3.0,1,2,1105 ,Partially Furnished,"Parking, Swimming Pool, Playground, Security",Selangor
14047,Palm Hill Residence,799, Kajang,Condominium,3.0,2,2,915 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track",Selangor
14048,Pangsapuri Jati 2,1 000, Subang Jaya,Apartment,3.0,1,2,926 ,Not Furnished,"Parking, Security, Swimming Pool, Gymnasium, Lift, Jogging Track",Selangor
14049,Saraka Apartment,1 200, Puchong,Condominium,3.0,1,2,915 ,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Security, Playground, Lift",Selangor
14050,BSP Skypark Serviced Residence,1 200, Kuala Langat,Service Residence,3.0,2,2,1021 ,Partially Furnished,"Swimming Pool, Playground, Security, Minimart, Gymnasium, Lift, Sauna, Parking, Barbeque area, Multipurpose hall, Jogging Track",Selangor
14051,Kiara Plaza,850, Semenyih,Studio,1.0,1,1,477 ,Partially Furnished,"Security, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Jogging Track, Parking, Lift, Sauna, Minimart",Selangor
14052,Suria Jaya,900, Shah Alam,Apartment,1.0,1,2,430 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",Selangor
14054,D'Sara Sentral Serviced Residence,1 100, Sungai Buloh,Service Residence,1.0,1,1,504 ,Fully Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Gymnasium, Barbeque area, Minimart",Selangor
14055,Impiria Residensi Bukit Tinggi Klang,3 000, Klang,Service Residence,4.0,2,3,1314 ,Fully Furnished,"Minimart, Swimming Pool, Playground, Gymnasium, Squash Court, Lift, Parking, Security, Sauna",Selangor
14056,Karisma @ Eco Majestic,770, Semenyih,Apartment,3.0,2,2,800 ,Not Furnished,"Security, Gymnasium, Sauna, Parking, Swimming Pool, Playground, Minimart",Selangor
14057,PKNS Seksyen 6 Bandar Baru Bangi,1 350, Bangi,Condominium,4.0,2,2,980 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area",Selangor
14058,Sri Penaga Apartment,850, Puchong,Condominium,3.0,1,2,850 ,Partially Furnished,Barbeque area,Selangor
14059,Landmark II,2 000, Kajang,Condominium,3.0,2,2,1163 ,Fully Furnished,"Multipurpose hall, Gymnasium, Security, Playground, Swimming Pool, Parking, Barbeque area",Selangor
14060,Canopy Hills,900, Kajang,Condominium,2.0,1,1,590 ,Not Furnished,"Jogging Track, Playground, Swimming Pool, Lift, Multipurpose hall, Security, Gymnasium, Barbeque area, Minimart, Parking",Selangor
14062,The Arc @ Cyberjaya,1 200, Cyberjaya,Condominium,3.0,1,2,1000 ,Partially Furnished,"Parking, Jogging Track, Security, Playground, Minimart, Swimming Pool, Gymnasium, Sauna",Selangor
14063,Tiara Imperio @ Bangi,1 100, Kajang,Service Residence,1.0,1,1,466 ,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall",Selangor
14066,Saville @ Cheras,1 200, Cheras,Service Residence,1.0,1,1,380 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
14067,Mentari Court,1 300, Petaling Jaya,Apartment,3.0,1,2,770 ,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool",Selangor
14068,Langat Jaya,900, Cheras,Condominium,3.0,1,2,900 ,Partially Furnished,"Tennis Court, Barbeque area, Parking, Security, Minimart, Playground, Gymnasium, Swimming Pool",Selangor
14069,Sierra Residency,1 100, Puchong,Condominium,3.0,1,2,907 ,Not Furnished,"Parking, Playground, Gymnasium, Multipurpose hall, Swimming Pool, Barbeque area, Security, Club house",Selangor
14070,The Amber Residences,1 100, Kota Kemuning,Service Residence,1.0,2,1,560 ,Partially Furnished,"Barbeque area, Playground, Jogging Track, Security, Sauna, Parking",Selangor
14071,Vista Seri Putra Apartments,1 100, Bangi,Apartment,3.0,1,2,780 ,Fully Furnished,"Parking, Jogging Track, Security, Swimming Pool, Playground, Gymnasium",Selangor
14072,Ritze Perdana 1,1 200, Damansara Perdana,Condominium,1.0,1,1,465 ,Fully Furnished,"Security, Sauna, Playground, Swimming Pool, Gymnasium, Lift, Squash Court, Parking, Minimart",Selangor
14073,Indah Condominium,800, Petaling Jaya,Condominium,3.0,1,2,850 ,Not Furnished,"Parking, Security, Sauna, Swimming Pool, Playground, Minimart",Selangor
14076,The Zizz,2 000, Damansara Damai,Service Residence,3.0,2,2,749 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
14077,Prima Bayu,1 800, Klang,Condominium,3.0,1,2,1038 ,Partially Furnished,"Swimming Pool, Parking, Security",Selangor
14078,Casa Tropika,1 200, Puchong,Condominium,3.0,1,2,1006 ,Partially Furnished,"Swimming Pool, Lift, Security, Minimart, Jogging Track, Sauna, Playground, Gymnasium, Tennis Court, Squash Court, Multipurpose hall, Parking",Selangor
14080,D'Aman Residences,1 099, Puchong,Condominium,3.0,2,2,1076 ,Partially Furnished,"Squash Court, Jogging Track, Multipurpose hall, Security, Swimming Pool, Gymnasium, Playground, Minimart, Club house, Tennis Court, Sauna, Barbeque area, Lift, Parking",Selangor
14081,Pangsapuri Setia Impian,1 150, Kajang,Apartment,3.0,2,2,1305 ,Partially Furnished,"Playground, Lift, Security, Parking, Jogging Track",Selangor
14085,Kenwingston Square Garden,1 600, Cyberjaya,Service Residence,2.0,2,1,650 ,Fully Furnished,"Security, Gymnasium, Parking, Swimming Pool, Jogging Track, Lift, Multipurpose hall, Playground, Sauna, Barbeque area",Selangor
14087,Green Park,1 200, Seri Kembangan,Condominium,3.0,2,2,845 ,Partially Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house",Selangor
14088,Sky Condominium @ Bandar Puchong Jaya,3 500, Puchong,Condominium,4.0,2,3,1550 ,Partially Furnished,"Gymnasium, Tennis Court, Parking, Playground, Security, Multipurpose hall, Barbeque area, Swimming Pool, Jogging Track",Selangor
14092,BSP 21,1 200, Bandar Saujana Putra,Service Residence,3.0,2,2,1000 ,Partially Furnished,"Barbeque area, Sauna, Swimming Pool, Tennis Court, Jogging Track, Playground, Parking, Security, Lift, Gymnasium",Selangor
14094,Aman Heights,1 500, Seri Kembangan,Condominium,4.0,1,2,1246 ,Partially Furnished,"Parking, Security, Gymnasium, Squash Court, Sauna, Playground, Barbeque area, Club house, Lift, Swimming Pool, Multipurpose hall, Minimart, Jogging Track",Selangor
14095,Eclipse Residence @ Pan'gaea,1 500, Cyberjaya,Service Residence,2.0,2,2,650 ,Fully Furnished,"Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Parking",Selangor
14097,Megaria Tulip,1 000, Seri Kembangan,Apartment,3.0,1,2,940 ,Partially Furnished,"Gymnasium, Parking, Security, Swimming Pool, Barbeque area, Playground, Lift",Selangor
14100,Green Park,1 900, Seri Kembangan,Condominium,2.0,2,2,1095 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
14101,Ridzuan Condominium,1 700, Bandar Sunway,Condominium,3.0,1,2,1192 ,Fully Furnished,"Minimart, Playground, Squash Court, Security, Parking, Swimming Pool, Lift",Selangor
14103,Residensi Selayang Damai,1 600, Batu Caves,Apartment,3.0,1,1,800 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",Selangor
14104,Suria Jaya,1 600, Shah Alam,Apartment,2.0,1,2,600 ,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall",Selangor
14105,Elaeis 1,1 800, Shah Alam,Condominium,3.0,1,2,1000 ,Fully Furnished,"Security, Minimart, Playground, Sauna, Parking, Swimming Pool, Lift, Multipurpose hall",Selangor
14106,Le Pavillion,1 850, Puchong,Service Residence,3.0,2,2,990 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court",Selangor
14107,Taman Sri Murni Fasa 2,1 000, Batu Caves,Apartment,3.0,1,2,776 ,Partially Furnished,"Swimming Pool, Parking, Security, Lift",Selangor
14109,Mutiara Ville @ Cyberjaya,2 000, Cyberjaya,Condominium,2.0,2,2,980 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
14110,D'Aman Residences,1 200, Puchong,Condominium,2.0,2,3,1076 ,Partially Furnished,"Jogging Track, Squash Court, Security, Playground, Gymnasium, Multipurpose hall, Swimming Pool",Selangor
14111,Vista Millennium Condominiums,1 350, Puchong,Condominium,3.0,1,2,850 ,Fully Furnished,"Security, Jogging Track, Playground, Multipurpose hall, Swimming Pool, Gymnasium, Lift, Parking, Minimart, Barbeque area, Tennis Court",Selangor
14113,Residensi Permai,1 100, Kajang,Condominium,3.0,2,2,850 ,Not Furnished,"Swimming Pool, Gymnasium, Minimart, Parking, Security, Playground, Jogging Track",Selangor
14114,Indah Alam,1 600, Shah Alam,Condominium,2.0,2,1,900 ,Fully Furnished,"Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house",Selangor
14115,Ridzuan Condominium,1 100, Bandar Sunway,Condominium,1.0,1,1,520 ,Fully Furnished,"Gymnasium, Playground, Security, Minimart, Parking, Lift, Swimming Pool, Barbeque area, Multipurpose hall, Jogging Track, Tennis Court",Selangor
14116,Juta Mines,950, Seri Kembangan,Condominium,3.0,1,2,1000 ,Partially Furnished,"Swimming Pool, Tennis Court, Security, Playground, Parking, Minimart, Gymnasium",Selangor
14117,Aster Residence Cheras,2 799, 360,Condominium,3.0,2,2,850 ,Fully Furnished,"Security, Swimming Pool, Barbeque area, Parking, Gymnasium, Playground, Lift, Sauna",Selangor
14118,Pangsapuri Flora II,1 050, Shah Alam,Apartment,3.0,1,2,900 ,Partially Furnished,"Parking, Barbeque area, Playground, Security, Minimart, Jogging Track",Selangor
14119,Goodyear Court 9,1 250, Subang Jaya,Apartment,3.0,2,2,800 ,Partially Furnished,"Parking, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house",Selangor
14120,Sri Pinang (Puchong),950, Puchong,Apartment,3.0,1,2,900 ,Partially Furnished,"Security, Playground, Swimming Pool, Barbeque area, Parking",Selangor
14121,Sri Cempaka (Pusat Bandar Puchong),850, Puchong,Apartment,3.0,1,2,850 ,Not Furnished,"Parking, Swimming Pool, Squash Court, Security, Multipurpose hall, Minimart, Playground, Jogging Track",Selangor
14122,Aurora Residence @ Lake Side City,1 900, 389,Service Residence,3.0,2,2,1150 ,Fully Furnished,"Multipurpose hall, Swimming Pool, Playground, Security, Gymnasium, Barbeque area, Tennis Court, Sauna, Lift, Parking, Minimart, Squash Court, Jogging Track, Club house",Selangor
14124,Core Soho Suite,900, Sepang,Apartment,1.0,1,1,450 ,Partially Furnished,"Parking, Security, Lift",Selangor
14126,Elaeis 2,1 500, Shah Alam,Condominium,3.0,1,2,1000 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Jogging Track",Selangor
14127,The Wharf (Puchong),1 300, Puchong,Service Residence,2.0,1,2,818 ,Partially Furnished,"Parking, Security, Playground, Swimming Pool, Gymnasium, Jogging Track, Multipurpose hall, Lift, Minimart, Club house, Tennis Court",Selangor
14130,Prima Bayu,1 300, Klang,Condominium,3.0,2,2,1150 ,Partially Furnished,"Security, Swimming Pool, Parking, Playground, Barbeque area, Minimart",Selangor
14131,LBS Skylake Residence,1 250, Puchong,Service Residence,1.0,1,1,554 ,Partially Furnished,"Security, Swimming Pool, Gymnasium, Multipurpose hall, Playground, Lift, Barbeque area, Sauna, Jogging Track",Selangor
14134,Menara U,1 700, Shah Alam,Condominium,2.0,1,1,527 ,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Squash Court, Jogging Track, Minimart, Playground, Security, Lift",Selangor
14135,Idaman Residensi Selangorku,1 099, Cyberjaya,Apartment,3.0,2,2,1000 ,Partially Furnished,"Minimart, Parking, Security, Swimming Pool",Selangor
14136,Pangsapuri Damai,1 050, Shah Alam,Apartment,3.0,1,2,1071 ,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Gymnasium, Jogging Track",Selangor
14137,Prima Selayang,800, Batu Caves,Apartment,5.0,1,2,1340 ,Not Furnished,"Parking, Playground, Jogging Track",Selangor
14138,Kenwingston Square Garden,1 400, Cyberjaya,Service Residence,1.0,1,1,450 ,Fully Furnished,"Gymnasium, Swimming Pool, Parking, Security, Lift, Playground, Sauna, Barbeque area, Multipurpose hall",Selangor
14140,Neo Damansara,1 300, Petaling Jaya,Service Residence,1.0,1,1,421 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground",Selangor
14143,LBS Skylake Residence,1 300, Puchong,Service Residence,2.0,2,2,883 ,Partially Furnished,"Barbeque area, Sauna, Multipurpose hall, Playground, Jogging Track, Lift, Security, Swimming Pool, Gymnasium, Parking, Minimart, Tennis Court",Selangor
14144,LBS Skylake Residence,1 300, Puchong,Service Residence,2.0,2,2,883 ,Partially Furnished,"Barbeque area, Sauna, Multipurpose hall, Playground, Jogging Track, Lift, Security, Swimming Pool, Gymnasium, Parking, Minimart, Tennis Court, Club house",Selangor
14145,LBS Skylake Residence,1 650, Puchong,Service Residence,2.0,2,2,1000 ,Partially Furnished,"Lift, Barbeque area, Security, Multipurpose hall, Sauna, Swimming Pool, Gymnasium, Jogging Track, Playground, Parking, Minimart, Club house, Tennis Court",Selangor
14146,La Thea Residences,2 000, Puchong,Condominium,3.0,2,2,980 ,Fully Furnished,"Jogging Track, Gymnasium, Parking, Security, Swimming Pool, Lift, Sauna, Barbeque area, Minimart, Playground, Multipurpose hall, Tennis Court, Club house",Selangor
14148,Ridzuan Condominium,1 500, Bandar Sunway,Condominium,3.0,1,2,1192 ,Partially Furnished,"Minimart, Security, Playground, Squash Court, Parking, Lift, Swimming Pool",Selangor
14149,De Bayu Apartment,1 200, Setia Alam,Apartment,3.0,2,2,900 ,Partially Furnished,"Minimart, Club house, Sauna, Tennis Court, Gymnasium",Selangor
14151,Villa Impian (Kota Warisan Sepang),700, Sepang,Condominium,1.0,1,1,450 ,Not Furnished,"Parking, Gymnasium, Club house, Jogging Track, Sauna, Security, Lift, Barbeque area, Minimart, Swimming Pool, Playground, Multipurpose hall",Selangor
14152,Pangsapuri Delima (Shah Alam),1 200, Shah Alam,Apartment,3.0,1,2,850 ,Partially Furnished,"Parking, Security, Playground, Lift, Minimart, Multipurpose hall, Jogging Track",Selangor
14154,Langat Jaya,950, Cheras,Condominium,3.0,1,2,936 ,Partially Furnished,"Parking, Playground, Swimming Pool, Barbeque area, Tennis Court, Gymnasium, Minimart, Security",Selangor
14161,Oasis 1 @ Mutiara Heights,1 300, Kajang,Condominium,3.0,2,2,1250 ,Partially Furnished,"Playground, Jogging Track, Security, Swimming Pool, Gymnasium, Multipurpose hall, Parking, Lift",Selangor
14164,Mahogany Park,1 500, Kajang,Apartment,3.0,1,2,872 ,Partially Furnished,"Minimart, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium, Lift, Playground",Selangor
14166,Kemuning Aman,1 100, Shah Alam,Apartment,3.0,2,2,900 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Jogging Track",Selangor
14167,Kenwingston Square Garden,1 500, Cyberjaya,Service Residence,2.0,2,1,650 ,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Security, Lift, Playground, Sauna, Barbeque area, Multipurpose hall",Selangor
14169,South View @ One Ampang Avenue,1 700, Ampang,Condominium,3.0,1,2,1060 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor
