Title,Price,Area,Category,Size,Bedrooms,Bathrooms
The Elements Ampang For Sale Below Market Value Genting View,RM 680 000,AMPANG,Apartments,1065 sq.ft.,2 Bedrooms,2 Bathrooms
The Elements Ampang For Sale Below Market Value 100% Full Loan,RM 430 000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
Sale Axis residence axis Pandan condo 3r 2b near Lrt Pandan Indah,RM 430 000,AMPANG,Apartments,1000 sq.ft.,3 Bedrooms,2 Bathrooms
The Elements Ampang For Sale Below Market Value,RM 740 000,AMPANG,Apartments,1570 sq.ft.,4 Bedrooms,3 Bathrooms
[950sft] South View One Ampang Avenue High Floor Partly Furnished,RM 350 000,AMPANG,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
"First RM2XXk in KLCC Area,extra early bird package 3min to LRT",RM 200 000,AMPANG,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
Modern Condo Greenery RM 1200 - Ampang,RM 399 000,AMPANG,Apartments,1360 sq.ft.,4 Bedrooms,3 Bathrooms
"[NEAR AMPANG POINT] Ampang Boulevard Condominium, Kuala Lumpur",RM 330 000,AMPANG,Apartments,888 sq.ft.,3 Bedrooms,2 Bathrooms
"Ampang : Apartment Taman Cahaya [FREE AIRCONDS, MEDIUM COST MURAH]",RM 250 000,AMPANG,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
Sri angsana hilir condominium desa pandan ampang hilir kuala lumpur,RM 298 000,AMPANG,Apartments,1349 sq.ft.,3 Bedrooms,2 Bathrooms
M City Jalan Ampang Lake View unit [BELOW MARKET VALUE],RM 680 000,AMPANG,Apartments,888 sq.ft.,2 Bedrooms,2 Bathrooms
The Elements Ampang For Sale Below Market Value,RM 440 000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
M City Jalan Ampang Below Market Value BEST DEAL,RM 660 000,AMPANG,Apartments,1066 sq.ft.,2 Bedrooms,2 Bathrooms
BELOW PRICE | GCB Court Condo | 1925sqft | RENO | 100% FULL LOAN,RM 620 000,AMPANG,Apartments,1925 sq.ft.,4 Bedrooms,3 Bathrooms
The Elements Ampang Service Residence Condominium,RM 870 000,AMPANG,Apartments,1432 sq.ft.,3 Bedrooms,3 Bathrooms
Paling Murah Menara Polo Ampang Hilir for Sale Big Unit 1485 SQFT,RM 490 000,AMPANG,Apartments,1485 sq.ft.,3 Bedrooms,2 Bathrooms
