State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Johor,N.41,PUTERI WANGSA,ABD AZIZ BIN TOHAK,BN,"12,586","53,445",23.55%,0,L,KLH,0
Johor,N.41,PUTERI WANGSA,HJ MAZLAN BIN BUJANG,PKR,"37,545","53,445",70.25%,1,L,MNG,0
Johor,N.41,PUTERI WANGSA,LIM YAK HONG,BEBAS - MOTOSIKAL,544,"53,445",1.02%,0,L,HD,0
Johor,N.41,PUTERI WANGSA,USTAZ ABDULLAH HUSIN,PAS,"2,654","53,445",4.97%,0,L,HD,0
Johor,N.41,PUTERI WANGSA,TING CHOON CHAI,BEBAS - KUNCI,116,"53,445",0.22%,0,L,HD,0
Johor,N.42,JOHOR JAYA,KUMUTHA A/P RAHMAN,PAS,"2,605","51,724",5.04%,0,P,HD,0
Johor,N.42,JOHOR JAYA,LIOW CAI TUNG,PKR,"32,342","51,724",62.53%,1,P,MNG,0
Johor,N.42,JOHOR JAYA,TAN CHER PUK,BN,"16,777","51,724",32.44%,0,L,KLH,0
Johor,N.43,PERMAS,ROHANI BINTI YAACOB,BEBAS - KUNCI,113,"53,134",0.21%,0,P,HD,0
Johor,N.43,PERMAS,AB. AZIZ BIN ABDULLAH,PAS,"4,181","53,134",7.87%,0,L,HD,0
Johor,N.43,PERMAS,MOHAMED KHALED NORDIN,BN,"20,047","53,134",37.73%,0,L,KLH,0
Johor,N.43,PERMAS,CHE ZAKARIA BIN MOHD SALLEH,PKR,"28,793","53,134",54.19%,1,L,MNG,0
Johor,N.44,LARKIN,DATUK YAHYA JA'AFAR,BN,"16,422","44,667",36.77%,0,L,KLH,0
Johor,N.44,LARKIN,MOHD IZHAR BIN AHMAD,PKR,"25,012","44,667",56.00%,1,L,MNG,0
Johor,N.44,LARKIN,ZAKIAH BINTI TUKIRIN,PAS,"3,233","44,667",7.24%,0,P,HD,0
Johor,N.45,STULANG,ANDREW CHEN KAH ENG,PKR,"24,002","35,534",67.55%,1,L,MNG,0
Johor,N.45,STULANG,ANG BOON HENG,BN,"11,532","35,534",32.45%,0,L,KLH,0
Johor,N.46,PERLING,CHEO YEE HOW,PKR,"32,592","51,541",63.24%,1,L,MNG,0
Johor,N.46,PERLING,WONG YOU FONG,BN,"13,059","51,541",25.34%,0,P,KLH,0
Johor,N.46,PERLING,UST. MUHAMAD NAZRIN BIN IHSAN,PAS,"5,890","51,541",11.43%,0,L,HD,BEKERJA SENDIRI
Johor,N.47,KEMPAS,OSMAN BIN SAPIAN,PKR,"21,137","35,417",59.68%,1,L,MNG,0
Johor,N.47,KEMPAS,DATUK RAMLEE BIN BOHANI,BN,"11,959","35,417",33.77%,0,L,KLH,0
Johor,N.47,KEMPAS,DZULKIFLI BIN SULEIMAN,PAS,"2,321","35,417",6.55%,0,L,HD,0
Johor,N.48,SKUDAI,TAN HONG PIN,PKR,"47,359","59,592",79.47%,1,L,MNG,0
Johor,N.48,SKUDAI,S KANAN,BN,"12,233","59,592",20.53%,0,L,KLH,0
Johor,N.49,KOTA ISKANDAR,DZULKEFLY AHMAD,PKR,"33,455","57,333",58.35%,1,L,MNG,0
Johor,N.49,KOTA ISKANDAR,HJ SALLEHUDDIN BIN MOHD DAHIRAN,PAS,"4,966","57,333",8.66%,0,L,HD,0
Johor,N.49,KOTA ISKANDAR,MOHD KHAIRI BIN A MALIK,BN,"18,912","57,333",32.99%,0,L,KLH,0
Johor,N.50,BUKIT PERMAI,TOSRIN BIN JARVANTHI,PKR,"10,998","20,857",52.73%,1,L,MNG,0
Johor,N.50,BUKIT PERMAI,ABD AZIZ BIN JA'AFAR,PAS,"1,392","20,857",6.67%,0,L,HD,0
Johor,N.50,BUKIT PERMAI,ALI MAZAT BIN SALLEH,BN,"8,467","20,857",40.60%,0,L,KLH,0
Johor,N.51,BUKIT BATU,USTAZ JUWAHIR BIN AMIN,PAS,"1,888","26,041",7.25%,0,L,HD,0
Johor,N.51,BUKIT BATU,JIMMY PUAH WEE TSE,PKR,"17,105","26,041",65.68%,1,L,MNG,0
Johor,N.51,BUKIT BATU,TEO LEE HO,BN,"7,048","26,041",27.07%,0,L,KLH,0
Johor,N.52,SENAI,TEE BOON TSONG,PKR,"28,274","37,646",75.10%,1,L,MNG,0
Johor,N.52,SENAI,SHEN POH KUAN,BN,"9,372","37,646",24.90%,0,L,KLH,0
Johor,N.53,BENUT,DATUK IR.HASNI BIN MOHAMMAD,BN,"9,480","17,103",55.43%,1,L,MNG,0
Johor,N.53,BENUT,MOHD FIRDAUS BIN JAFFAR,PAS,"2,590","17,103",15.14%,0,L,KLH,0
Johor,N.53,BENUT,ZULKIFLY BIN TASREP,PKR,"5,033","17,103",29.43%,0,L,KLH,0
Johor,N.54,PULAI SEBATANG,DATUK TEE SIEW KIONG,BN,"11,112","28,594",38.86%,0,L,KLH,0
Johor,N.54,PULAI SEBATANG,TAQIUDDIN CHEMAN,PKR,"14,507","28,594",50.73%,1,L,MNG,0
Johor,N.54,PULAI SEBATANG,DR BAHAROM MOHAMAD,PAS,"2,975","28,594",10.40%,0,L,HD,0
Johor,N.55,PEKAN NANAS,TAN ENG MENG,BN,"10,548","22,404",47.08%,0,L,KLH,0
Johor,N.55,PEKAN NANAS,YEO TUNG SIONG,PKR,"11,856","22,404",52.92%,1,L,MNG,0
Johor,N.56,KUKUP,DR KARIM BIN DERAMAN,PAS,"1,040","22,404",4.64%,0,L,HD,0
Johor,N.56,KUKUP,SUHAIZAN KAYAT,PKR,"10,251","22,404",45.76%,0,L,KLH,0
Johor,N.56,KUKUP,"DATUK MD OTHMAN YUSOF ""TOK MOY""",BN,"11,113","22,404",49.60%,1,L,MNG,0
Kedah,N.01,AYER HANGAT,AZLINA BINTI AZINAN,PAS,"4,034","17,602",22.92%,0,P,KLH,TIADA
Kedah,N.01,AYER HANGAT,MOHD RAWI BIN ABD HAMID,BN,"6,018","17,602",34.19%,0,L,KLH,TIADA
Kedah,N.01,AYER HANGAT,JUHARI BIN BULAT,PKR,"7,550","17,602",42.89%,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.02,KUAH,NOR SAIDI BIN NANYAN,BN,"5,824","16,871",34.52%,0,L,KLH,TIADA
Kedah,N.02,KUAH,MAZLAN BIN AHMAD,PAS,"2,685","16,871",15.91%,0,L,KLH,TIADA
Kedah,N.02,KUAH,MOHAMAD RATU B. MANSOR.,BEBAS - POKOK,86,"16,871",0.51%,0,L,HD,PENIAGA
Kedah,N.02,KUAH,MOHD FIRDAUS BIN AHMAD,PKR,"8,276","16,871",49.05%,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.03,KOTA SIPUTEH,USTAZ MOHD REJAB MD AKHIR,PAS,"5,798","18,858",30.75%,0,L,KLH,TIADA
Kedah,N.03,KOTA SIPUTEH,AHMAD AZHAR BIN ABDULLAH,BN,"5,795","18,858",30.73%,0,L,KLH,TIADA
Kedah,N.03,KOTA SIPUTEH,DR SALMEE SAID,PKR,"7,265","18,858",38.52%,1,P,MNG,0
Kedah,N.04,AYER HITAM,CIKGU AZHAR,PAS,"9,229","25,141",36.71%,1,L,MNG,PESARA GURU
Kedah,N.04,AYER HITAM,DATO' HJ ABU HASAN BIN SARIF,BN,"7,220","25,141",28.72%,0,L,KLH,TIADA
Kedah,N.04,AYER HITAM,DATO' AZIZ MOHAMOD,PKR,"8,692","25,141",34.57%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.05,BUKIT KAYU HITAM,HABSHAH BINTI BAKAR,PAS,"6,528","26,429",24.70%,0,P,KLH,TIADA
Kedah,N.05,BUKIT KAYU HITAM,HAJAH HALIMATON SHAADIAH BINTI SAAD,PKR,"11,027","26,429",41.72%,1,P,MNG,AHLI PERNIAGAAN
Kedah,N.05,BUKIT KAYU HITAM,DATO' HAJI AHMAD ZAINI JAPAR,BN,"8,874","26,429",33.58%,0,L,KLH,TIADA
Kedah,N.06,JITRA,ZULHAZMI BIN OSMAN,PAS,"7,064","33,919",20.83%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.06,JITRA,DATO' SERI HJ MUKHRIZ TUN MAHATHIR,PKR,"18,852","33,919",55.58%,1,L,MNG,AHLI PERNIAGAAN
