Year,Quarter,Blocks of countries,Category,Countries,Credit RM million,Debit RM million,Net RM million
2011,2Q,East Asia,of which,"China, People's Republic of",44,233,-189
2011,2Q,East Asia,of which,"Hong Kong, SAR",1252,1378,-126
2011,2Q,East Asia,of which,Japan,6507,1649,4858
2011,2Q,East Asia,of which,"Korea, Republic of",419,97,321
2011,2Q,East Asia,of which,Taiwan,136,192,-56
2011,2Q,East Asia,Total East Asia,Total Country,8374,3550,4824
2011,2Q,Europe,of which,Denmark,-32,43,-75
2011,2Q,Europe,of which,France,642,315,327
2011,2Q,Europe,of which,Germany,1041,861,179
2011,2Q,Europe,of which,Luxembourg,121,154,-34
2011,2Q,Europe,of which,Netherlands,1767,1337,431
2011,2Q,Europe,of which,Switzerland,250,161,89
2011,2Q,Europe,of which,United Kingdom,1054,636,418
2011,2Q,Europe,Total Europe,Total Country,4528,3937,591
2011,2Q,Latin America,of which,Bermuda,411,29,383
2011,2Q,Latin America,of which,Cayman Islands,271,141,130
2011,2Q,Latin America,of which,Virgin Islands (British),674,29,644
2011,2Q,Latin America,Total Latin America,Total Country,2165,305,1861
2011,2Q,North America,of which,United States,2926,1363,1563
2011,2Q,North America,Total North America,Total Country,2972,1372,1600
2011,2Q,Oceania,of which,Australia,234,429,-195
2011,2Q,Oceania,Total Oceania,Total Country,262,459,-197
2011,2Q,Other Block of Countries,Total Other Block of Countries,Total Country,1339,636,703
2011,2Q,Southeast Asia,of which,Singapore,3317,3040,278
2011,2Q,Southeast Asia,of which,Thailand,295,313,-18
2011,2Q,Southeast Asia,Total Southeast Asia,Total Country,4028,3594,434
2011,3Q,East Asia,of which,"China, People's Republic of",247,272,-25
2011,3Q,East Asia,of which,"Hong Kong, SAR",1657,2465,-808
2011,3Q,East Asia,of which,Japan,2986,1495,1491
2011,3Q,East Asia,of which,"Korea, Republic of",205,204,1
2011,3Q,East Asia,of which,Taiwan,147,110,37
2011,3Q,East Asia,Total East Asia,Total Country,5242,4550,692
2011,3Q,Europe,of which,Denmark,29,22,7
2011,3Q,Europe,of which,France,160,380,-221
2011,3Q,Europe,of which,Germany,1295,668,627
2011,3Q,Europe,of which,Luxembourg,-133,233,-366
2011,3Q,Europe,of which,Netherlands,2057,1536,521
2011,3Q,Europe,of which,Switzerland,192,230,-38
2011,3Q,Europe,of which,United Kingdom,758,540,219
2011,3Q,Europe,Total Europe,Total Country,5021,4045,976
2011,3Q,Latin America,of which,Bermuda,153,10,143
2011,3Q,Latin America,of which,Cayman Islands,311,536,-225
2011,3Q,Latin America,of which,Virgin Islands (British),-1371,11,-1382
2011,3Q,Latin America,Total Latin America,Total Country,438,632,-194
2011,3Q,North America,of which,United States,3034,2120,914
2011,3Q,North America,Total North America,Total Country,3094,2259,835
2011,3Q,Oceania,of which,Australia,647,139,508
2011,3Q,Oceania,Total Oceania,Total Country,767,184,583
2011,3Q,Other Block of Countries,Total Other Block of Countries,Total Country,4776,500,4276
2011,3Q,Southeast Asia,of which,Singapore,4314,2867,1447
2011,3Q,Southeast Asia,of which,Thailand,416,316,100
