School stage,State,District Education Office,Year,School type,Sex,Number of pupils
Secondary school,Sarawak,Saratok,2018,Vocational College,Male,
Secondary school,Sarawak,Saratok,2018,Vocational College,Female,
Secondary school,Sarawak,Sarikei,2017,Academic,Male,2378
Secondary school,Sarawak,Sarikei,2017,Academic,Female,2461
Secondary school,Sarawak,Sarikei,2017,Vocational College,Male,
Secondary school,Sarawak,Sarikei,2017,Vocational College,Female,
Secondary school,Sarawak,Sarikei,2018,Academic,Male,2384
Secondary school,Sarawak,Sarikei,2018,Academic,Female,2399
Secondary school,Sarawak,Sarikei,2018,Vocational College,Male,
Secondary school,Sarawak,Sarikei,2018,Vocational College,Female,
Secondary school,Sarawak,Selangau ,2017,Academic,Male,262
Secondary school,Sarawak,Selangau ,2017,Academic,Female,285
Secondary school,Sarawak,Selangau ,2017,Vocational College,Male,
Secondary school,Sarawak,Selangau ,2017,Vocational College,Female,
Secondary school,Sarawak,Selangau ,2018,Academic,Male,268
Secondary school,Sarawak,Selangau ,2018,Academic,Female,301
Secondary school,Sarawak,Selangau ,2018,Vocational College,Male,
Secondary school,Sarawak,Selangau ,2018,Vocational College,Female,
Secondary school,Sarawak,Serian,2017,Academic,Male,3948
Secondary school,Sarawak,Serian,2017,Academic,Female,4233
Secondary school,Sarawak,Serian,2017,Vocational College,Male,
Secondary school,Sarawak,Serian,2017,Vocational College,Female,
Secondary school,Sarawak,Serian,2018,Academic,Male,3872
Secondary school,Sarawak,Serian,2018,Academic,Female,4172
Secondary school,Sarawak,Serian,2018,Vocational College,Male,
Secondary school,Sarawak,Serian,2018,Vocational College,Female,
Secondary school,Sarawak,Sibu,2017,Academic,Male,10039
Secondary school,Sarawak,Sibu,2017,Academic,Female,10758
Secondary school,Sarawak,Sibu,2017,Vocational College,Male,266
Secondary school,Sarawak,Sibu,2017,Vocational College,Female,423
Secondary school,Sarawak,Sibu,2018,Academic,Male,10133
Secondary school,Sarawak,Sibu,2018,Academic,Female,10717
Secondary school,Sarawak,Sibu,2018,Vocational College,Male,261
Secondary school,Sarawak,Sibu,2018,Vocational College,Female,390
Secondary school,Sarawak,Simunjan,2017,Academic,Male,1520
Secondary school,Sarawak,Simunjan,2017,Academic,Female,1508
Secondary school,Sarawak,Simunjan,2017,Vocational College,Male,
Secondary school,Sarawak,Simunjan,2017,Vocational College,Female,
Secondary school,Sarawak,Simunjan,2018,Academic,Male,1525
Secondary school,Sarawak,Simunjan,2018,Academic,Female,1503
Secondary school,Sarawak,Simunjan,2018,Vocational College,Male,
Secondary school,Sarawak,Simunjan,2018,Vocational College,Female,
Secondary school,Sarawak,Song,2017,Academic,Male,630
Secondary school,Sarawak,Song,2017,Academic,Female,663
Secondary school,Sarawak,Song,2017,Vocational College,Male,
Secondary school,Sarawak,Song,2017,Vocational College,Female,
Secondary school,Sarawak,Song,2018,Academic,Male,607
Secondary school,Sarawak,Song,2018,Academic,Female,607
Secondary school,Sarawak,Song,2018,Vocational College,Male,
Secondary school,Sarawak,Song,2018,Vocational College,Female,
Secondary school,Sarawak,Sri Aman,2017,Academic,Male,2115
