School stage,State,District Education Office,Year,School type,Sex,Number of pupils
Primary school,Kedah,Pendang,2017,,Male,5204
Primary school,Kedah,Pendang,2017,,Female,4891
Primary school,Kedah,Pendang,2018,,Male,5345
Primary school,Kedah,Pendang,2018,,Female,4913
Primary school,Kedah,Pokok Sena,2017,,Male,
Primary school,Kedah,Pokok Sena,2017,,Female,
Primary school,Kedah,Pokok Sena,2018,,Male,
Primary school,Kedah,Pokok Sena,2018,,Female,
Primary school,Kedah,Sik,2017,,Male,
Primary school,Kedah,Sik,2017,,Female,
Primary school,Kedah,Sik,2018,,Male,3529
Primary school,Kedah,Sik,2018,,Female,3295
Primary school,Kedah,Yan,2017,,Male,
Primary school,Kedah,Yan,2017,,Female,
Primary school,Kedah,Yan,2018,,Male,
Primary school,Kedah,Yan,2018,,Female,
Primary school,Sabah,Beaufort,2017,,Male,3787
Primary school,Sabah,Beaufort,2017,,Female,3521
Primary school,Sabah,Beaufort,2018,,Male,3852
Primary school,Sabah,Beaufort,2018,,Female,3626
Primary school,Sabah,Keningau,2017,,Male,8563
Primary school,Sabah,Keningau,2017,,Female,8123
Primary school,Sabah,Keningau,2018,,Male,8616
Primary school,Sabah,Keningau,2018,,Female,8137
Primary school,Sabah,Kinabatangan,2017,,Male,2752
Primary school,Sabah,Kinabatangan,2017,,Female,2468
Primary school,Sabah,Kinabatangan,2018,,Male,2858
Primary school,Sabah,Kinabatangan,2018,,Female,2533
Primary school,Sabah,Kota Belud,2017,,Male,5737
Primary school,Sabah,Kota Belud,2017,,Female,5362
Primary school,Sabah,Kota Belud,2018,,Male,5823
Primary school,Sabah,Kota Belud,2018,,Female,5442
Primary school,Sabah,Kota Kinabalu,2017,,Male,19213
Primary school,Sabah,Kota Kinabalu,2017,,Female,18454
Primary school,Sabah,Kota Kinabalu,2018,,Male,19864
Primary school,Sabah,Kota Kinabalu,2018,,Female,18947
Primary school,Sabah,Kota Marudu,2017,,Male,4637
Primary school,Sabah,Kota Marudu,2017,,Female,4385
Primary school,Sabah,Kota Marudu,2018,,Male,4682
Primary school,Sabah,Kota Marudu,2018,,Female,4526
Primary school,Sabah,Kuala Penyu,2017,,Male,1248
Primary school,Sabah,Kuala Penyu,2017,,Female,1159
Primary school,Sabah,Kuala Penyu,2018,,Male,1310
Primary school,Sabah,Kuala Penyu,2018,,Female,1198
Primary school,Sabah,Kudat,2017,,Male,5356
Primary school,Sabah,Kudat,2017,,Female,4974
Primary school,Sabah,Kudat,2018,,Male,5369
Primary school,Sabah,Kudat,2018,,Female,5077
Primary school,Sabah,Kunak,2017,,Male,2370
Primary school,Sabah,Kunak,2017,,Female,2370
Primary school,Sabah,Kunak,2018,,Male,2479
Primary school,Sabah,Kunak,2018,,Female,2423
Primary school,Sabah,Labuk & Sugut ,2017,,Male,3213
Primary school,Sabah,Labuk & Sugut ,2017,,Female,3144
Primary school,Sabah,Labuk & Sugut ,2018,,Male,3294
Primary school,Sabah,Labuk & Sugut ,2018,,Female,3151
Primary school,Sabah,Lahad Datu,2017,,Male,8469
Primary school,Sabah,Lahad Datu,2017,,Female,8019
Primary school,Sabah,Lahad Datu,2018,,Male,8632
Primary school,Sabah,Lahad Datu,2018,,Female,8175
Primary school,Sabah,Papar,2017,,Male,6258
Primary school,Sabah,Papar,2017,,Female,5964
Primary school,Sabah,Papar,2018,,Male,6307
Primary school,Sabah,Papar,2018,,Female,6106
Primary school,Sabah,Penampang,2017,,Male,6730
Primary school,Sabah,Penampang,2017,,Female,6236
Primary school,Sabah,Penampang,2018,,Male,6937
Primary school,Sabah,Penampang,2018,,Female,6418
Primary school,Sabah,Pensiang,2017,,Male,2051
Primary school,Sabah,Pensiang,2017,,Female,1929
Primary school,Sabah,Pensiang,2018,,Male,1970
Primary school,Sabah,Pensiang,2018,,Female,1812
Primary school,Sabah,Pitas,2017,,Male,2907
Primary school,Sabah,Pitas,2017,,Female,2719
Primary school,Sabah,Pitas,2018,,Male,2890
Primary school,Sabah,Pitas,2018,,Female,2787
Primary school,Sabah,Ranau,2017,,Male,5601
Primary school,Sabah,Ranau,2017,,Female,5243
Primary school,Sabah,Ranau,2018,,Male,5755
Primary school,Sabah,Ranau,2018,,Female,5353
Primary school,Sabah,Sandakan,2017,,Male,14082
Primary school,Sabah,Sandakan,2017,,Female,13245
Primary school,Sabah,Sandakan,2018,,Male,14169
Primary school,Sabah,Sandakan,2018,,Female,13204
Primary school,Sabah,Semporna,2017,,Male,7719
Primary school,Sabah,Semporna,2017,,Female,7279
Primary school,Sabah,Semporna,2018,,Male,7691
Primary school,Sabah,Semporna,2018,,Female,7212
Primary school,Sabah,Sipitang,2017,,Male,1822
Primary school,Sabah,Sipitang,2017,,Female,1759
Primary school,Sabah,Sipitang,2018,,Male,1804
Primary school,Sabah,Sipitang,2018,,Female,1749
Primary school,Sabah,Tambunan,2017,,Male,1827
Primary school,Sabah,Tambunan,2017,,Female,1758
Primary school,Sabah,Tambunan,2018,,Male,1834
Primary school,Sabah,Tambunan,2018,,Female,1750
Primary school,Sabah,Tawau,2017,,Male,13706
Primary school,Sabah,Tawau,2017,,Female,13139
Primary school,Sabah,Tawau,2018,,Male,13581
Primary school,Sabah,Tawau,2018,,Female,13050
Primary school,Sabah,Tenom,2017,,Male,3117
Primary school,Sabah,Tenom,2017,,Female,2831
Primary school,Sabah,Tenom,2018,,Male,3113
Primary school,Sabah,Tenom,2018,,Female,2897
Primary school,Sabah,Tonggod,2017,,Male,2715
Primary school,Sabah,Tonggod,2017,,Female,2603
Primary school,Sabah,Tonggod,2018,,Male,2787
Primary school,Sabah,Tonggod,2018,,Female,2660
Primary school,Sabah,Tuaran,2017,,Male,6916
Primary school,Sabah,Tuaran,2017,,Female,6357
Primary school,Sabah,Tuaran,2018,,Male,7135
Primary school,Sabah,Tuaran,2018,,Female,6598
Primary school,Negeri Sembilan,Jelebu,2017,,Male,7822
Primary school,Negeri Sembilan,Jelebu,2017,,Female,7324
Primary school,Negeri Sembilan,Jelebu,2018,,Male,7875
Primary school,Negeri Sembilan,Jelebu,2018,,Female,7316
Primary school,Negeri Sembilan,Kuala Pilah,2017,,Male,3005
Primary school,Negeri Sembilan,Kuala Pilah,2017,,Female,2876
Primary school,Negeri Sembilan,Kuala Pilah,2018,,Male,2934
Primary school,Negeri Sembilan,Kuala Pilah,2018,,Female,2861
Primary school,Negeri Sembilan,Port Dickson,2017,,Male,6678
Primary school,Negeri Sembilan,Port Dickson,2017,,Female,6473
Primary school,Negeri Sembilan,Port Dickson,2018,,Male,6736
Primary school,Negeri Sembilan,Port Dickson,2018,,Female,6551
Primary school,Negeri Sembilan,Rembau,2017,,Male,2250
Primary school,Negeri Sembilan,Rembau,2017,,Female,2159
Primary school,Negeri Sembilan,Rembau,2018,,Male,2290
Primary school,Negeri Sembilan,Rembau,2018,,Female,2142
Primary school,Negeri Sembilan,Seremban,2017,,Male,27921
Primary school,Negeri Sembilan,Seremban,2017,,Female,26648
Primary school,Negeri Sembilan,Seremban,2018,,Male,28243
Primary school,Negeri Sembilan,Seremban,2018,,Female,26936
Primary school,Negeri Sembilan,Tampin,2017,,Male,4441
Primary school,Negeri Sembilan,Tampin,2017,,Female,4194
Primary school,Negeri Sembilan,Tampin,2018,,Male,4407
Primary school,Negeri Sembilan,Tampin,2018,,Female,4248
Primary school,Kelantan ,Bachok ,2017,,Male,7721
Primary school,Kelantan ,Bachok ,2017,,Female,7489
Primary school,Kelantan ,Bachok ,2018,,Male,7713
Primary school,Kelantan ,Bachok ,2018,,Female,7453
Primary school,Kelantan ,Gua Musang,2017,,Male,6182
Primary school,Kelantan ,Gua Musang,2017,,Female,5815
Primary school,Kelantan ,Gua Musang,2018,,Male,6245
Primary school,Kelantan ,Gua Musang,2018,,Female,5943
Primary school,Kelantan ,Jeli,2017,,Male,2625
Primary school,Kelantan ,Jeli,2017,,Female,2463
Primary school,Kelantan ,Jeli,2018,,Male,2679
Primary school,Kelantan ,Jeli,2018,,Female,2534
Primary school,Kelantan ,Kota Bharu,2017,,Male,26457
Primary school,Kelantan ,Kota Bharu,2017,,Female,25733
Primary school,Kelantan ,Kota Bharu,2018,,Male,26271
Primary school,Kelantan ,Kota Bharu,2018,,Female,25686
Primary school,Kelantan ,Kuala Krai,2017,,Male,6185
Primary school,Kelantan ,Kuala Krai,2017,,Female,6005
Primary school,Kelantan ,Kuala Krai,2018,,Male,6202
Primary school,Kelantan ,Kuala Krai,2018,,Female,6090
Primary school,Kelantan ,Machang,2017,,Male,5077
Primary school,Kelantan ,Machang,2017,,Female,4791
Primary school,Kelantan ,Machang,2018,,Male,5021
Primary school,Kelantan ,Machang,2018,,Female,4740
Primary school,Kelantan ,Pasir Mas,2017,,Male,10668
Primary school,Kelantan ,Pasir Mas,2017,,Female,10080
Primary school,Kelantan ,Pasir Mas,2018,,Male,10485
Primary school,Kelantan ,Pasir Mas,2018,,Female,10009
Primary school,Kelantan ,Pasir Puteh,2017,,Male,7222
Primary school,Kelantan ,Pasir Puteh,2017,,Female,6652
Primary school,Kelantan ,Pasir Puteh,2018,,Male,7122
Primary school,Kelantan ,Pasir Puteh,2018,,Female,6616
Primary school,Kelantan ,Tanah Merah,2017,,Male,6940
Primary school,Kelantan ,Tanah Merah,2017,,Female,6526
Primary school,Kelantan ,Tanah Merah,2018,,Male,6910
Primary school,Kelantan ,Tanah Merah,2018,,Female,6503
Primary school,Kelantan ,Tumpat,2017,,Male,8779
Primary school,Kelantan ,Tumpat,2017,,Female,8429
Primary school,Kelantan ,Tumpat,2018,,Male,8796
Primary school,Kelantan ,Tumpat,2018,,Female,8388
Primary school,Johor,Batu Pahat,2017,,Male,19592
Primary school,Johor,Batu Pahat,2017,,Female,18324
Primary school,Johor,Batu Pahat,2018,,Male,19180
Primary school,Johor,Batu Pahat,2018,,Female,17993
Primary school,Johor,Johor Bahru,2017,,Male,35872
Primary school,Johor,Johor Bahru,2017,,Female,34259
Primary school,Johor,Johor Bahru,2018,,Male,36443
Primary school,Johor,Johor Bahru,2018,,Female,34947
Primary school,Johor,Kluang,2017,,Male,13004
Primary school,Johor,Kluang,2017,,Female,12252
Primary school,Johor,Kluang,2018,,Male,13103
Primary school,Johor,Kluang,2018,,Female,12307
Primary school,Johor,Kota Tinggi,2017,,Male,9314
Primary school,Johor,Kota Tinggi,2017,,Female,8556
Primary school,Johor,Kota Tinggi,2018,,Male,9520
Primary school,Johor,Kota Tinggi,2018,,Female,8688
Primary school,Johor,Kulai,2017,,Male,16900
Primary school,Johor,Kulai,2017,,Female,15942
Primary school,Johor,Kulai,2018,,Male,17011
Primary school,Johor,Kulai,2018,,Female,16032
Primary school,Johor,Mersing,2017,,Male,3831
Primary school,Johor,Mersing,2017,,Female,3574
Primary school,Johor,Mersing,2018,,Male,3909
Primary school,Johor,Mersing,2018,,Female,3665
Primary school,Johor,Muar,2017,,Male,11642
Primary school,Johor,Muar,2017,,Female,10816
Primary school,Johor,Muar,2018,,Male,11575
Primary school,Johor,Muar,2018,,Female,10800
Primary school,Johor,Pasir Gudang ,2017,,Male,34551
Primary school,Johor,Pasir Gudang ,2017,,Female,32805
Primary school,Johor,Pasir Gudang ,2018,,Male,34699
Primary school,Johor,Pasir Gudang ,2018,,Female,32976
Primary school,Johor,Pontian,2017,,Male,8065
Primary school,Johor,Pontian,2017,,Female,7617
Primary school,Johor,Pontian,2018,,Male,8003
Primary school,Johor,Pontian,2018,,Female,7631
Primary school,Johor,Segamat,2017,,Male,9098
Primary school,Johor,Segamat,2017,,Female,8584
Primary school,Johor,Segamat,2018,,Male,9032
Primary school,Johor,Segamat,2018,,Female,8519
Primary school,Johor,Tangkak,2017,,Male,6376
Primary school,Johor,Tangkak,2017,,Female,5735
Primary school,Johor,Tangkak,2018,,Male,6343
Primary school,Johor,Tangkak,2018,,Female,5717
Primary school,Pahang,Bentong,2017,,Male,4802
Primary school,Pahang,Bentong,2017,,Female,4517
Primary school,Pahang,Bentong,2018,,Male,4731
Primary school,Pahang,Bentong,2018,,Female,4529
Primary school,Pahang,Bera,2017,,Male,4144
Primary school,Pahang,Bera,2017,,Female,4011
Primary school,Pahang,Bera,2018,,Male,4165
Primary school,Pahang,Bera,2018,,Female,4062
Primary school,Pahang,Cameron Highlands,2017,,Male,1499
Primary school,Pahang,Cameron Highlands,2017,,Female,1529
Primary school,Pahang,Cameron Highlands,2018,,Male,1569
Primary school,Pahang,Cameron Highlands,2018,,Female,1573
Primary school,Pahang,Jerantut,2017,,Male,5000
Primary school,Pahang,Jerantut,2017,,Female,4650
Primary school,Pahang,Jerantut,2018,,Male,4959
Primary school,Pahang,Jerantut,2018,,Female,4598
Primary school,Pahang,Kuala Lipis,2017,,Male,4613
Primary school,Pahang,Kuala Lipis,2017,,Female,4382
Primary school,Pahang,Kuala Lipis,2018,,Male,4584
Primary school,Pahang,Kuala Lipis,2018,,Female,4278
Primary school,Pahang,Kuantan,2017,,Male,24084
Primary school,Pahang,Kuantan,2017,,Female,22822
Primary school,Pahang,Kuantan,2018,,Male,24528
Primary school,Pahang,Kuantan,2018,,Female,23097
Primary school,Pahang,Maran,2017,,Male,5626
Primary school,Pahang,Maran,2017,,Female,5210
Primary school,Pahang,Maran,2018,,Male,5598
Primary school,Pahang,Maran,2018,,Female,5254
Primary school,Pahang,Pekan,2017,,Male,6468
Primary school,Pahang,Pekan,2017,,Female,6291
Primary school,Pahang,Pekan,2018,,Male,6478
Primary school,Pahang,Pekan,2018,,Female,6217
Primary school,Pahang,Raub,2017,,Male,3580
Primary school,Pahang,Raub,2017,,Female,3425
Primary school,Pahang,Raub,2018,,Male,3511
Primary school,Pahang,Raub,2018,,Female,3414
Primary school,Pahang,Rompin,2017,,Male,5993
Primary school,Pahang,Rompin,2017,,Female,5832
Primary school,Pahang,Rompin,2018,,Male,6116
Primary school,Pahang,Rompin,2018,,Female,5776
Primary school,Pahang,Temerloh,2017,,Male,8522
Primary school,Pahang,Temerloh,2017,,Female,8117
Primary school,Pahang,Temerloh,2018,,Male,8537
Primary school,Pahang,Temerloh,2018,,Female,8124
Primary school,MELAKA,Alor Gajah,2017,,Male,9937
Primary school,MELAKA,Alor Gajah,2017,,Female,9406
Primary school,MELAKA,Alor Gajah,2018,,Male,10143
Primary school,MELAKA,Alor Gajah,2018,,Female,9686
Primary school,MELAKA,Jasin,2017,,Male,6500
Primary school,MELAKA,Jasin,2017,,Female,6229
Primary school,MELAKA,Jasin,2018,,Male,6534
Primary school,MELAKA,Jasin,2018,,Female,6214
Primary school,MELAKA,Melaka Tengah,2017,,Male,25134
Primary school,MELAKA,Melaka Tengah,2017,,Female,23880
Primary school,MELAKA,Melaka Tengah,2018,,Male,25482
Primary school,MELAKA,Melaka Tengah,2018,,Female,24055
Primary school,Perlis,Melaka Tengah,2017,,Male,11884
Primary school,Perlis,Melaka Tengah,2017,,Female,11181
Primary school,Perlis,Melaka Tengah,2018,,Male,11982
Primary school,Perlis,Melaka Tengah,2018,,Female,11266
Primary school,W.P. Kuala Lumpur,Melaka Tengah,2017,,Male,64415
Primary school,W.P. Kuala Lumpur,Melaka Tengah,2017,,Female,62314
Primary school,W.P. Kuala Lumpur,Melaka Tengah,2018,,Male,64934
Primary school,W.P. Kuala Lumpur,Melaka Tengah,2018,,Female,62699
Primary school,W.P. Labuan,Melaka Tengah,2017,,Male,4491
Primary school,W.P. Labuan,Melaka Tengah,2017,,Female,4278
Primary school,W.P. Labuan,Melaka Tengah,2018,,Male,4631
Primary school,W.P. Labuan,Melaka Tengah,2018,,Female,4434
Primary school,W.P. Putrajaya,Melaka Tengah,2017,,Male,7717
Primary school,W.P. Putrajaya,Melaka Tengah,2017,,Female,7380
Primary school,W.P. Putrajaya,Melaka Tengah,2018,,Male,8619
Primary school,W.P. Putrajaya,Melaka Tengah,2018,,Female,8371
Primary school,Pulau Pinang,Daerah Barat Daya,2017,,Male,9093
Primary school,Pulau Pinang,Daerah Barat Daya,2017,,Female,8572
Primary school,Pulau Pinang,Daerah Barat Daya,2018,,Male,9127
Primary school,Pulau Pinang,Daerah Barat Daya,2018,,Female,8577
Primary school,Pulau Pinang,Seberang Perai Utara,2017,,Male,16074
Primary school,Pulau Pinang,Seberang Perai Utara,2017,,Female,15285
Primary school,Pulau Pinang,Seberang Perai Utara,2018,,Male,15983
Primary school,Pulau Pinang,Seberang Perai Utara,2018,,Female,15450
Primary school,Pulau Pinang,Seberang Perai Selatan,2017,,Male,8693
Primary school,Pulau Pinang,Seberang Perai Selatan,2017,,Female,8195
Primary school,Pulau Pinang,Seberang Perai Selatan,2018,,Male,8768
Primary school,Pulau Pinang,Seberang Perai Selatan,2018,,Female,8110
Primary school,Pulau Pinang,Seberang Perai Tengah,2017,,Male,17244
Primary school,Pulau Pinang,Seberang Perai Tengah,2017,,Female,16322
Primary school,Pulau Pinang,Seberang Perai Tengah,2018,,Male,17204
Primary school,Pulau Pinang,Seberang Perai Tengah,2018,,Female,16197
Primary school,Pulau Pinang,Daerah Timor Laut,2017,,Male,15904
Primary school,Pulau Pinang,Daerah Timor Laut,2017,,Female,15073
Primary school,Pulau Pinang,Daerah Timor Laut,2018,,Male,15865
Primary school,Pulau Pinang,Daerah Timor Laut,2018,,Female,14909
Primary school,Selangor,Gombak,2017,,Male,35342
Primary school,Selangor,Gombak,2017,,Female,33400
Primary school,Selangor,Gombak,2018,,Male,35379
Primary school,Selangor,Gombak,2018,,Female,33545
Primary school,Selangor,Hulu Langat,2017,,Male,48554
Primary school,Selangor,Hulu Langat,2017,,Female,46377
Primary school,Selangor,Hulu Langat,2018,,Male,49114
Primary school,Selangor,Hulu Langat,2018,,Female,47194
Primary school,Selangor,Hulu Selangor,2017,,Male,12142
Primary school,Selangor,Hulu Selangor,2017,,Female,11547
Primary school,Selangor,Hulu Selangor,2018,,Male,12265
Primary school,Selangor,Hulu Selangor,2018,,Female,11529
Primary school,Selangor,Klang,2017,,Male,46088
Primary school,Selangor,Klang,2017,,Female,43540
Primary school,Selangor,Klang,2018,,Male,46546
Primary school,Selangor,Klang,2018,,Female,43964
Primary school,Selangor,Kuala Langat,2017,,Male,13519
Primary school,Selangor,Kuala Langat,2017,,Female,12868
Primary school,Selangor,Kuala Langat,2018,,Male,13642
Primary school,Selangor,Kuala Langat,2018,,Female,13192
Primary school,Selangor,Kuala Selangor,2017,,Male,14368
Primary school,Selangor,Kuala Selangor,2017,,Female,13375
Primary school,Selangor,Kuala Selangor,2018,,Male,14446
Primary school,Selangor,Kuala Selangor,2018,,Female,13472
Primary school,Selangor,Petaling Perdana,2017,,Male,53026
Primary school,Selangor,Petaling Perdana,2017,,Female,50432
Primary school,Selangor,Petaling Perdana,2018,,Male,53911
Primary school,Selangor,Petaling Perdana,2018,,Female,51262
Primary school,Selangor,Petaling Utama,2017,,Male,22155
Primary school,Selangor,Petaling Utama,2017,,Female,21469
Primary school,Selangor,Petaling Utama,2018,,Male,22212
Primary school,Selangor,Petaling Utama,2018,,Female,21574
Primary school,Selangor,Sabak Bernam,2017,,Male,5869
Primary school,Selangor,Sabak Bernam,2017,,Female,5493
Primary school,Selangor,Sabak Bernam,2018,,Male,5746
Primary school,Selangor,Sabak Bernam,2018,,Female,5417
Primary school,Selangor,Sepang,2017,,Male,11968
Primary school,Selangor,Sepang,2017,,Female,11185
Primary school,Selangor,Sepang,2018,,Male,12417
Primary school,Selangor,Sepang,2018,,Female,11561
Primary school,Terengganu,Besut,2017,,Male,9650
Primary school,Terengganu,Besut,2017,,Female,9378
Primary school,Terengganu,Besut,2018,,Male,9802
Primary school,Terengganu,Besut,2018,,Female,9269
Primary school,Terengganu,Dungun,2017,,Male,8467
Primary school,Terengganu,Dungun,2017,,Female,8266
Primary school,Terengganu,Dungun,2018,,Male,8654
Primary school,Terengganu,Dungun,2018,,Female,8347
Primary school,Terengganu,Hulu Terengganu,2017,,Male,4393
Primary school,Terengganu,Hulu Terengganu,2017,,Female,4030
Primary school,Terengganu,Hulu Terengganu,2018,,Male,4432
Primary school,Terengganu,Hulu Terengganu,2018,,Female,4136
Primary school,Terengganu,Kemaman,2017,,Male,11380
Primary school,Terengganu,Kemaman,2017,,Female,10818
Primary school,Terengganu,Kemaman,2018,,Male,11545
Primary school,Terengganu,Kemaman,2018,,Female,11004
Primary school,Terengganu,Kuala Nerus ,2017,,Male,6849
Primary school,Terengganu,Kuala Nerus ,2017,,Female,6742
Primary school,Terengganu,Kuala Nerus ,2018,,Male,7047
Primary school,Terengganu,Kuala Nerus ,2018,,Female,6759
Primary school,Terengganu,Kuala Terengganu,2017,,Male,12979
Primary school,Terengganu,Kuala Terengganu,2017,,Female,12571
Primary school,Terengganu,Kuala Terengganu,2018,,Male,13077
Primary school,Terengganu,Kuala Terengganu,2018,,Female,12777
Primary school,Terengganu,Marang,2017,,Male,5976
Primary school,Terengganu,Marang,2017,,Female,5614
Primary school,Terengganu,Marang,2018,,Male,6092
Primary school,Terengganu,Marang,2018,,Female,5692
Primary school,Terengganu,Setiu,2017,,Male,3986
Primary school,Terengganu,Setiu,2017,,Female,3751
Primary school,Terengganu,Setiu,2018,,Male,4039
Primary school,Terengganu,Setiu,2018,,Female,3793
